#,time(s),count A,count B,count C,count D
1,0.005,-18,0,,
2,0.01,-20,0,,
3,0.015,-22,0,,
4,0.02,-24,0,,
5,0.025,-26,0,,
6,0.03,-28,0,,
7,0.035,-30,0,,
8,0.04,-31,-1,,
9,0.045,-33,-1,,
10,0.05,-34,-1,,
11,0.055,-36,-1,,
12,0.06,-38,-2,,
13,0.065,-39,-2,,
14,0.07,-41,-2,,
15,0.075,-42,-2,,
16,0.08,-44,-2,,
17,0.085,-45,-3,,
18,0.09,-46,-3,,
19,0.095,-48,-4,,
20,0.1,-49,-4,,
21,0.105,-50,-4,,
22,0.11,-51,-5,,
23,0.115,-52,-6,,
24,0.12,-53,-6,,
25,0.125,-54,-6,,
26,0.13,-55,-7,,
27,0.135,-56,-8,,
28,0.14,-57,-8,,
29,0.145,-58,-9,,
30,0.15,-58,-10,,
31,0.155,-59,-10,,
32,0.16,-59,-11,,
33,0.165,-60,-12,,
34,0.17,-60,-12,,
35,0.175,-60,-13,,
36,0.18,-61,-14,,
37,0.185,-61,-15,,
38,0.19,-62,-16,,
39,0.195,-62,-16,,
40,0.2,-62,-18,,
41,0.205,-62,-18,,
42,0.21,-62,-19,,
43,0.215,-62,-20,,
44,0.22,-62,-21,,
45,0.225,-61,-22,,
46,0.23,-61,-23,,
47,0.235,-61,-24,,
48,0.24,-60,-25,,
49,0.245,-60,-26,,
50,0.25,-60,-27,,
51,0.255,-59,-28,,
52,0.26,-58,-29,,
53,0.265,-58,-30,,
54,0.27,-57,-31,,
55,0.275,-56,-32,,
56,0.28,-56,-33,,
57,0.285,-55,-34,,
58,0.29,-54,-35,,
59,0.295,-53,-36,,
60,0.3,-52,-37,,
61,0.305,-51,-38,,
62,0.31,-50,-39,,
63,0.315,-49,-40,,
64,0.32,-48,-41,,
65,0.325,-47,-42,,
66,0.33,-46,-42,,
67,0.335,-45,-44,,
68,0.34,-44,-44,,
69,0.345,-42,-45,,
70,0.35,-41,-46,,
71,0.355,-40,-47,,
72,0.36,-38,-48,,
73,0.365,-37,-48,,
74,0.37,-36,-49,,
75,0.375,-34,-50,,
76,0.38,-33,-51,,
77,0.385,-32,-52,,
78,0.39,-30,-52,,
79,0.395,-29,-53,,
80,0.4,-28,-53,,
81,0.405,-26,-54,,
82,0.41,-25,-54,,
83,0.415,-24,-55,,
84,0.42,-22,-55,,
85,0.425,-21,-56,,
86,0.43,-20,-56,,
87,0.435,-18,-56,,
88,0.44,-17,-57,,
89,0.445,-16,-57,,
90,0.45,-14,-57,,
91,0.455,-13,-58,,
92,0.46,-12,-58,,
93,0.465,-10,-58,,
94,0.47,-9,-58,,
95,0.475,-8,-58,,
96,0.48,-6,-58,,
97,0.485,-5,-58,,
98,0.49,-4,-58,,
99,0.495,-3,-57,,
100,0.5,-2,-57,,
101,0.505,0,-57,,
102,0.51,1,-56,,
103,0.515,2,-56,,
104,0.52,3,-56,,
105,0.525,4,-55,,
106,0.53,5,-55,,
107,0.535,6,-54,,
108,0.54,7,-54,,
109,0.545,8,-53,,
110,0.55,8,-52,,
111,0.555,9,-52,,
112,0.56,10,-51,,
113,0.565,11,-50,,
114,0.57,12,-49,,
115,0.575,12,-48,,
116,0.58,13,-48,,
117,0.585,14,-46,,
118,0.59,14,-46,,
119,0.595,14,-44,,
120,0.6,15,-43,,
121,0.605,16,-42,,
122,0.61,16,-41,,
123,0.615,16,-40,,
124,0.62,17,-38,,
125,0.625,17,-37,,
126,0.63,17,-36,,
127,0.635,18,-34,,
128,0.64,18,-33,,
129,0.645,18,-32,,
130,0.65,18,-30,,
131,0.655,18,-29,,
132,0.66,18,-27,,
133,0.665,18,-26,,
134,0.67,18,-24,,
135,0.675,18,-22,,
136,0.68,18,-21,,
137,0.685,18,-19,,
138,0.69,18,-18,,
139,0.695,18,-16,,
140,0.7,18,-14,,
141,0.705,18,-13,,
142,0.71,17,-11,,
143,0.715,17,-9,,
144,0.72,17,-8,,
145,0.725,16,-6,,
146,0.73,16,-4,,
147,0.735,16,-2,,
148,0.74,16,0,,
149,0.745,15,1,,
150,0.75,15,3,,
151,0.755,14,5,,
152,0.76,14,6,,
153,0.765,14,8,,
154,0.77,13,10,,
155,0.775,13,12,,
156,0.78,12,13,,
157,0.785,12,15,,
158,0.79,12,17,,
159,0.795,11,18,,
160,0.8,10,20,,
161,0.805,10,22,,
162,0.81,10,24,,
163,0.815,9,25,,
164,0.82,8,27,,
165,0.825,8,28,,
166,0.83,8,30,,
167,0.835,7,31,,
168,0.84,7,33,,
169,0.845,6,34,,
170,0.85,6,36,,
171,0.855,6,37,,
172,0.86,5,38,,
173,0.865,5,40,,
174,0.87,4,41,,
175,0.875,4,42,,
176,0.88,4,43,,
177,0.885,4,44,,
178,0.89,4,46,,
179,0.895,3,46,,
180,0.9,3,48,,
181,0.905,2,48,,
182,0.91,2,50,,
183,0.915,2,50,,
184,0.92,2,51,,
185,0.925,2,52,,
186,0.93,2,53,,
187,0.935,2,53,,
188,0.94,2,54,,
189,0.945,2,54,,
190,0.95,2,55,,
191,0.955,2,56,,
192,0.96,2,56,,
193,0.965,2,56,,
194,0.97,2,57,,
195,0.975,2,57,,
196,0.98,2,57,,
197,0.985,3,58,,
198,0.99,3,58,,
199,0.995,3,58,,
200,1,4,58,,
201,1.005,4,58,,
202,1.01,4,58,,
203,1.015,5,57,,
204,1.02,5,57,,
205,1.025,6,57,,
206,1.03,6,57,,
207,1.035,6,56,,
208,1.04,7,56,,
209,1.045,8,56,,
210,1.05,8,55,,
211,1.055,9,54,,
212,1.06,10,54,,
213,1.065,10,53,,
214,1.07,11,52,,
215,1.075,12,52,,
216,1.08,12,51,,
217,1.085,13,50,,
218,1.09,14,50,,
219,1.095,14,48,,
220,1.1,15,48,,
221,1.105,16,46,,
222,1.11,17,46,,
223,1.115,18,44,,
224,1.12,18,44,,
225,1.125,19,42,,
226,1.13,20,41,,
227,1.135,21,40,,
228,1.14,22,39,,
229,1.145,23,38,,
230,1.15,24,36,,
231,1.155,24,35,,
232,1.16,25,34,,
233,1.165,26,33,,
234,1.17,27,31,,
235,1.175,28,30,,
236,1.18,28,29,,
237,1.185,30,27,,
238,1.19,30,26,,
239,1.195,31,24,,
240,1.2,32,23,,
241,1.205,33,22,,
242,1.21,34,20,,
243,1.215,34,19,,
244,1.22,35,18,,
245,1.225,36,16,,
246,1.23,36,14,,
247,1.235,37,13,,
248,1.24,38,12,,
249,1.245,38,10,,
250,1.25,39,9,,
251,1.255,39,8,,
252,1.26,40,6,,
253,1.265,40,4,,
254,1.27,41,3,,
255,1.275,41,2,,
256,1.28,42,0,,
257,1.285,42,-1,,
258,1.29,42,-2,,
259,1.295,42,-4,,
260,1.3,43,-5,,
261,1.305,43,-6,,
262,1.31,43,-8,,
263,1.315,43,-8,,
264,1.32,43,-10,,
265,1.325,43,-11,,
266,1.33,43,-12,,
267,1.335,43,-13,,
268,1.34,43,-14,,
269,1.345,43,-16,,
270,1.35,43,-16,,
271,1.355,42,-18,,
272,1.36,42,-18,,
273,1.365,42,-20,,
274,1.37,42,-20,,
275,1.375,41,-21,,
276,1.38,40,-22,,
277,1.385,40,-23,,
278,1.39,40,-24,,
279,1.395,39,-24,,
280,1.4,38,-25,,
281,1.405,38,-26,,
282,1.41,36,-27,,
283,1.415,36,-27,,
284,1.42,35,-28,,
285,1.425,34,-28,,
286,1.43,33,-29,,
287,1.435,32,-30,,
288,1.44,31,-30,,
289,1.445,30,-30,,
290,1.45,29,-30,,
291,1.455,28,-31,,
292,1.46,26,-31,,
293,1.465,25,-32,,
294,1.47,24,-32,,
295,1.475,22,-32,,
296,1.48,21,-32,,
297,1.485,20,-32,,
298,1.49,18,-32,,
299,1.495,17,-32,,
300,1.5,16,-32,,
301,1.505,14,-32,,
302,1.51,12,-32,,
303,1.515,11,-32,,
304,1.52,9,-32,,
305,1.525,8,-32,,
306,1.53,6,-32,,
307,1.535,4,-32,,
308,1.54,2,-32,,
309,1.545,1,-32,,
310,1.55,-1,-32,,
311,1.555,-2,-31,,
312,1.56,-4,-31,,
313,1.565,-6,-31,,
314,1.57,-8,-30,,
315,1.575,-10,-30,,
316,1.58,-12,-30,,
317,1.585,-13,-30,,
318,1.59,-15,-29,,
319,1.595,-16,-29,,
320,1.6,-18,-29,,
321,1.605,-20,-28,,
322,1.61,-22,-28,,
323,1.615,-24,-28,,
324,1.62,-26,-27,,
325,1.625,-27,-27,,
326,1.63,-29,-26,,
327,1.635,-30,-26,,
328,1.64,-32,-26,,
329,1.645,-34,-26,,
330,1.65,-35,-25,,
331,1.655,-37,-25,,
332,1.66,-38,-24,,
333,1.665,-40,-24,,
334,1.67,-42,-24,,
335,1.675,-43,-24,,
336,1.68,-44,-23,,
337,1.685,-46,-23,,
338,1.69,-47,-22,,
339,1.695,-48,-22,,
340,1.7,-50,-22,,
341,1.705,-51,-22,,
342,1.71,-52,-21,,
343,1.715,-54,-21,,
344,1.72,-54,-21,,
345,1.725,-56,-20,,
346,1.73,-56,-20,,
347,1.735,-58,-20,,
348,1.74,-58,-20,,
349,1.745,-60,-20,,
350,1.75,-60,-20,,
351,1.755,-61,-20,,
352,1.76,-62,-20,,
353,1.765,-62,-20,,
354,1.77,-63,-19,,
355,1.775,-64,-19,,
356,1.78,-64,-19,,
357,1.785,-64,-19,,
358,1.79,-64,-19,,
359,1.795,-65,-19,,
360,1.8,-65,-19,,
361,1.805,-66,-19,,
362,1.81,-66,-19,,
363,1.815,-66,-19,,
364,1.82,-66,-19,,
365,1.825,-66,-20,,
366,1.83,-66,-20,,
367,1.835,-65,-20,,
368,1.84,-65,-20,,
369,1.845,-65,-20,,
370,1.85,-64,-20,,
371,1.855,-64,-20,,
372,1.86,-64,-20,,
373,1.865,-63,-21,,
374,1.87,-62,-21,,
375,1.875,-62,-21,,
376,1.88,-61,-22,,
377,1.885,-60,-22,,
378,1.89,-60,-22,,
379,1.895,-59,-22,,
380,1.9,-58,-22,,
381,1.905,-57,-23,,
382,1.91,-56,-23,,
383,1.915,-55,-24,,
384,1.92,-54,-24,,
385,1.925,-53,-24,,
386,1.93,-52,-24,,
387,1.935,-50,-25,,
388,1.94,-49,-25,,
389,1.945,-48,-26,,
390,1.95,-46,-26,,
391,1.955,-45,-26,,
392,1.96,-44,-26,,
