#,time(s),count A,count B,count C,count D
1,0.005,-30,2,,
2,0.01,-29,2,,
3,0.015,-28,3,,
4,0.02,-26,3,,
5,0.025,-25,4,,
6,0.03,-24,4,,
7,0.035,-23,4,,
8,0.04,-22,5,,
9,0.045,-20,5,,
10,0.05,-19,6,,
11,0.055,-17,6,,
12,0.06,-16,6,,
13,0.065,-14,7,,
14,0.07,-13,7,,
15,0.075,-12,8,,
16,0.08,-10,8,,
17,0.085,-9,8,,
18,0.09,-8,8,,
19,0.095,-6,9,,
20,0.1,-5,9,,
21,0.105,-3,9,,
22,0.11,-2,10,,
23,0.115,0,10,,
24,0.12,1,10,,
25,0.125,2,10,,
26,0.13,4,11,,
27,0.135,6,11,,
28,0.14,7,12,,
29,0.145,8,12,,
30,0.15,10,12,,
31,0.155,11,12,,
32,0.16,12,12,,
33,0.165,14,13,,
34,0.17,15,13,,
35,0.175,16,14,,
36,0.18,18,14,,
37,0.185,19,14,,
38,0.19,20,14,,
39,0.195,22,15,,
40,0.2,22,15,,
41,0.205,24,15,,
42,0.21,25,16,,
43,0.215,26,16,,
44,0.22,28,16,,
45,0.225,28,16,,
46,0.23,30,17,,
47,0.235,30,17,,
48,0.24,32,18,,
49,0.245,32,18,,
50,0.25,34,18,,
51,0.255,34,18,,
52,0.26,36,19,,
53,0.265,36,19,,
54,0.27,37,20,,
55,0.275,38,20,,
56,0.28,38,20,,
57,0.285,39,21,,
58,0.29,40,21,,
59,0.295,40,22,,
60,0.3,41,22,,
61,0.305,42,22,,
62,0.31,42,23,,
63,0.315,43,23,,
64,0.32,43,24,,
65,0.325,44,24,,
66,0.33,44,24,,
67,0.335,44,25,,
68,0.34,44,25,,
69,0.345,45,26,,
70,0.35,45,26,,
71,0.355,45,26,,
72,0.36,45,27,,
73,0.365,46,27,,
74,0.37,46,28,,
75,0.375,46,28,,
76,0.38,46,28,,
77,0.385,46,29,,
78,0.39,45,30,,
79,0.395,45,30,,
80,0.4,45,30,,
81,0.405,45,31,,
82,0.41,44,31,,
83,0.415,44,32,,
84,0.42,44,32,,
85,0.425,44,32,,
86,0.43,43,33,,
87,0.435,42,33,,
88,0.44,42,34,,
89,0.445,42,34,,
90,0.45,41,34,,
91,0.455,40,34,,
92,0.46,40,35,,
93,0.465,39,35,,
94,0.47,38,36,,
95,0.475,38,36,,
96,0.48,37,36,,
97,0.485,36,36,,
98,0.49,36,37,,
99,0.495,35,37,,
100,0.5,34,37,,
101,0.505,33,38,,
102,0.51,32,38,,
103,0.515,32,38,,
104,0.52,30,38,,
105,0.525,30,38,,
106,0.53,29,38,,
107,0.535,28,38,,
108,0.54,27,38,,
109,0.545,26,38,,
110,0.55,25,38,,
111,0.555,24,39,,
112,0.56,23,39,,
113,0.565,22,39,,
114,0.57,21,38,,
115,0.575,20,38,,
116,0.58,19,38,,
117,0.585,18,38,,
118,0.59,17,38,,
119,0.595,16,38,,
120,0.6,14,38,,
121,0.605,14,38,,
122,0.61,12,37,,
123,0.615,11,37,,
124,0.62,10,37,,
125,0.625,9,36,,
126,0.63,8,36,,
127,0.635,7,36,,
128,0.64,6,35,,
129,0.645,5,35,,
130,0.65,4,34,,
131,0.655,3,34,,
132,0.66,2,33,,
133,0.665,1,33,,
134,0.67,0,32,,
135,0.675,-1,32,,
136,0.68,-2,31,,
137,0.685,-3,30,,
138,0.69,-4,30,,
139,0.695,-5,29,,
140,0.7,-6,28,,
141,0.705,-7,27,,
142,0.71,-8,26,,
143,0.715,-9,26,,
144,0.72,-10,25,,
145,0.725,-10,24,,
146,0.73,-11,23,,
147,0.735,-12,22,,
148,0.74,-13,21,,
149,0.745,-14,20,,
150,0.75,-14,19,,
151,0.755,-15,18,,
152,0.76,-16,17,,
153,0.765,-16,16,,
154,0.77,-17,15,,
155,0.775,-18,14,,
156,0.78,-18,13,,
157,0.785,-19,12,,
158,0.79,-20,10,,
159,0.795,-20,9,,
160,0.8,-21,8,,
161,0.805,-21,7,,
162,0.81,-22,6,,
163,0.815,-22,4,,
164,0.82,-23,3,,
165,0.825,-23,2,,
166,0.83,-24,1,,
167,0.835,-24,0,,
168,0.84,-24,-2,,
169,0.845,-25,-3,,
170,0.85,-25,-4,,
171,0.855,-26,-6,,
172,0.86,-26,-7,,
173,0.865,-26,-8,,
174,0.87,-26,-10,,
175,0.875,-26,-11,,
176,0.88,-27,-12,,
177,0.885,-27,-13,,
178,0.89,-27,-14,,
179,0.895,-28,-16,,
180,0.9,-28,-17,,
181,0.905,-28,-18,,
182,0.91,-28,-20,,
183,0.915,-28,-21,,
184,0.92,-28,-22,,
185,0.925,-28,-23,,
186,0.93,-28,-24,,
187,0.935,-28,-26,,
188,0.94,-28,-27,,
189,0.945,-28,-28,,
190,0.95,-28,-29,,
191,0.955,-28,-30,,
192,0.96,-29,-31,,
193,0.965,-29,-32,,
194,0.97,-29,-33,,
195,0.975,-29,-34,,
196,0.98,-29,-35,,
197,0.985,-29,-36,,
198,0.99,-29,-37,,
199,0.995,-29,-38,,
200,1,-29,-39,,
201,1.005,-29,-40,,
202,1.01,-29,-41,,
203,1.015,-29,-42,,
204,1.02,-28,-42,,
205,1.025,-28,-43,,
206,1.03,-28,-44,,
207,1.035,-28,-45,,
208,1.04,-28,-46,,
209,1.045,-28,-46,,
210,1.05,-28,-46,,
211,1.055,-28,-47,,
212,1.06,-28,-48,,
