#,time(s),count A,count B,count C,count D
1,0.005,-8,-36,,
2,0.01,-8,-34,,
3,0.015,-9,-32,,
4,0.02,-9,-31,,
5,0.025,-10,-29,,
6,0.03,-10,-27,,
7,0.035,-10,-26,,
8,0.04,-11,-24,,
9,0.045,-12,-22,,
10,0.05,-12,-20,,
11,0.055,-12,-18,,
12,0.06,-13,-17,,
13,0.065,-14,-15,,
14,0.07,-14,-13,,
15,0.075,-14,-12,,
16,0.08,-15,-10,,
17,0.085,-15,-8,,
18,0.09,-16,-6,,
19,0.095,-16,-4,,
20,0.1,-16,-3,,
21,0.105,-17,-1,,
22,0.11,-17,1,,
23,0.115,-18,2,,
24,0.12,-18,4,,
25,0.125,-18,6,,
26,0.13,-18,7,,
27,0.135,-19,9,,
28,0.14,-19,10,,
29,0.145,-19,12,,
30,0.15,-19,14,,
31,0.155,-19,15,,
32,0.16,-20,16,,
33,0.165,-20,18,,
34,0.17,-20,19,,
35,0.175,-20,21,,
36,0.18,-20,22,,
37,0.185,-20,23,,
38,0.19,-20,24,,
39,0.195,-20,26,,
40,0.2,-19,27,,
41,0.205,-19,28,,
42,0.21,-19,29,,
43,0.215,-19,30,,
44,0.22,-18,31,,
45,0.225,-18,32,,
46,0.23,-18,33,,
47,0.235,-17,34,,
48,0.24,-17,35,,
49,0.245,-16,36,,
50,0.25,-16,36,,
51,0.255,-15,37,,
52,0.26,-14,38,,
53,0.265,-14,38,,
54,0.27,-13,39,,
55,0.275,-12,39,,
56,0.28,-12,40,,
57,0.285,-11,40,,
58,0.29,-10,40,,
59,0.295,-10,41,,
60,0.3,-8,41,,
61,0.305,-8,41,,
62,0.31,-6,41,,
63,0.315,-6,42,,
64,0.32,-5,42,,
65,0.325,-4,42,,
66,0.33,-2,42,,
67,0.335,-1,42,,
68,0.34,0,41,,
69,0.345,1,41,,
70,0.35,2,41,,
71,0.355,3,41,,
72,0.36,4,40,,
73,0.365,6,40,,
74,0.37,7,40,,
75,0.375,8,40,,
76,0.38,10,39,,
77,0.385,11,38,,
78,0.39,12,38,,
79,0.395,14,38,,
80,0.4,15,37,,
81,0.405,16,36,,
82,0.41,18,36,,
83,0.415,19,35,,
84,0.42,21,34,,
85,0.425,22,34,,
86,0.43,24,33,,
87,0.435,25,32,,
88,0.44,26,31,,
89,0.445,28,30,,
90,0.45,29,30,,
91,0.455,30,29,,
92,0.46,32,28,,
93,0.465,33,27,,
94,0.47,34,26,,
95,0.475,36,26,,
96,0.48,37,24,,
97,0.485,38,24,,
98,0.49,40,23,,
99,0.495,41,22,,
100,0.5,42,21,,
101,0.505,44,20,,
102,0.51,44,19,,
103,0.515,46,18,,
104,0.52,47,17,,
105,0.525,48,16,,
106,0.53,49,15,,
107,0.535,50,14,,
108,0.54,51,13,,
109,0.545,52,12,,
110,0.55,53,11,,
111,0.555,54,10,,
112,0.56,54,10,,
113,0.565,55,8,,
114,0.57,56,8,,
115,0.575,56,7,,
116,0.58,57,6,,
117,0.585,58,5,,
118,0.59,58,4,,
119,0.595,59,4,,
120,0.6,59,3,,
121,0.605,60,2,,
122,0.61,60,1,,
123,0.615,60,0,,
124,0.62,60,0,,
125,0.625,61,-1,,
126,0.63,61,-2,,
127,0.635,61,-2,,
128,0.64,61,-3,,
129,0.645,61,-4,,
130,0.65,61,-4,,
131,0.655,60,-5,,
132,0.66,60,-5,,
133,0.665,60,-6,,
134,0.67,60,-6,,
135,0.675,59,-7,,
136,0.68,59,-7,,
137,0.685,58,-8,,
138,0.69,58,-8,,
139,0.695,57,-8,,
140,0.7,56,-9,,
141,0.705,56,-9,,
142,0.71,55,-9,,
143,0.715,54,-10,,
144,0.72,53,-10,,
145,0.725,52,-10,,
146,0.73,51,-10,,
147,0.735,50,-10,,
148,0.74,49,-10,,
149,0.745,48,-11,,
