#,time(s),count A,count B,count C,count D
1,0.005,-7,6,,
2,0.01,-8,6,,
3,0.015,-8,6,,
4,0.02,-8,6,,
5,0.025,-8,6,,
6,0.03,-8,6,,
7,0.035,-8,6,,
8,0.04,-8,6,,
9,0.045,-8,6,,
10,0.05,-8,6,,
11,0.055,-8,6,,
12,0.06,-8,6,,
13,0.065,-8,6,,
14,0.07,-8,6,,
15,0.075,-8,6,,
16,0.08,-8,6,,
17,0.085,-7,6,,
18,0.09,-7,6,,
19,0.095,-7,6,,
20,0.1,-7,6,,
21,0.105,-6,6,,
22,0.11,-6,6,,
23,0.115,-6,6,,
24,0.12,-6,6,,
25,0.125,-6,5,,
26,0.13,-6,5,,
27,0.135,-5,5,,
28,0.14,-5,5,,
29,0.145,-4,5,,
30,0.15,-4,4,,
31,0.155,-4,4,,
32,0.16,-4,4,,
33,0.165,-3,4,,
34,0.17,-3,4,,
35,0.175,-2,4,,
36,0.18,-2,4,,
37,0.185,-2,3,,
38,0.19,-2,3,,
39,0.195,-1,3,,
40,0.2,-1,2,,
41,0.205,0,2,,
42,0.21,0,2,,
43,0.215,0,2,,
44,0.22,1,2,,
45,0.225,1,2,,
46,0.23,2,1,,
47,0.235,2,1,,
48,0.24,2,1,,
49,0.245,3,1,,
50,0.25,3,0,,
51,0.255,4,0,,
52,0.26,4,0,,
53,0.265,4,0,,
54,0.27,5,0,,
55,0.275,5,0,,
56,0.28,6,0,,
57,0.285,6,-1,,
58,0.29,6,-1,,
59,0.295,7,-1,,
60,0.3,7,-1,,
61,0.305,8,-2,,
62,0.31,8,-2,,
63,0.315,8,-2,,
64,0.32,8,-2,,
65,0.325,9,-2,,
66,0.33,9,-2,,
67,0.335,10,-2,,
68,0.34,10,-2,,
69,0.345,10,-2,,
70,0.35,10,-2,,
71,0.355,10,-2,,
72,0.36,11,-2,,
73,0.365,11,-2,,
74,0.37,11,-2,,
75,0.375,12,-3,,
76,0.38,12,-3,,
77,0.385,12,-3,,
78,0.39,12,-3,,
79,0.395,12,-3,,
80,0.4,12,-3,,
81,0.405,12,-3,,
82,0.41,12,-3,,
83,0.415,12,-3,,
84,0.42,12,-3,,
85,0.425,12,-3,,
86,0.43,12,-2,,
87,0.435,12,-2,,
88,0.44,12,-2,,
89,0.445,12,-2,,
90,0.45,12,-2,,
91,0.455,12,-2,,
92,0.46,12,-2,,
93,0.465,12,-2,,
94,0.47,12,-2,,
95,0.475,12,-2,,
96,0.48,11,-2,,
97,0.485,11,-2,,
98,0.49,11,-2,,
99,0.495,11,-1,,
100,0.5,10,-1,,
101,0.505,10,-1,,
102,0.51,10,-1,,
103,0.515,10,-1,,
104,0.52,9,0,,
105,0.525,9,0,,
106,0.53,9,0,,
107,0.535,8,0,,
108,0.54,8,0,,
109,0.545,8,0,,
110,0.55,7,0,,
111,0.555,7,0,,
112,0.56,6,1,,
113,0.565,6,1,,
114,0.57,6,1,,
115,0.575,6,1,,
116,0.58,5,2,,
117,0.585,4,2,,
118,0.59,4,2,,
119,0.595,4,2,,
120,0.6,3,2,,
121,0.605,3,2,,
122,0.61,2,2,,
123,0.615,2,2,,
124,0.62,2,3,,
125,0.625,1,3,,
126,0.63,1,3,,
127,0.635,0,3,,
128,0.64,0,3,,
129,0.645,0,4,,
130,0.65,-1,4,,
131,0.655,-1,4,,
132,0.66,-2,4,,
133,0.665,-2,4,,
134,0.67,-2,4,,
135,0.675,-3,4,,
136,0.68,-3,4,,
137,0.685,-4,4,,
138,0.69,-4,4,,
139,0.695,-4,4,,
140,0.7,-4,4,,
141,0.705,-5,4,,
142,0.71,-5,4,,
143,0.715,-5,4,,
144,0.72,-6,4,,
145,0.725,-6,4,,
146,0.73,-6,4,,
147,0.735,-6,4,,
148,0.74,-6,4,,
149,0.745,-6,4,,
150,0.75,-7,4,,
151,0.755,-7,4,,
152,0.76,-7,4,,
153,0.765,-7,4,,
154,0.77,-8,4,,
155,0.775,-8,4,,
156,0.78,-8,4,,
157,0.785,-8,4,,
158,0.79,-8,4,,
159,0.795,-8,4,,
160,0.8,-8,4,,
161,0.805,-8,4,,
162,0.81,-8,3,,
163,0.815,-8,3,,
164,0.82,-8,3,,
165,0.825,-8,3,,
166,0.83,-8,3,,
167,0.835,-8,2,,
168,0.84,-8,2,,
169,0.845,-7,2,,
170,0.85,-7,2,,
171,0.855,-7,2,,
172,0.86,-7,2,,
173,0.865,-7,2,,
174,0.87,-6,1,,
175,0.875,-6,1,,
176,0.88,-6,1,,
177,0.885,-6,1,,
178,0.89,-6,0,,
179,0.895,-6,0,,
180,0.9,-5,0,,
181,0.905,-5,0,,
182,0.91,-4,0,,
183,0.915,-4,0,,
184,0.92,-4,-1,,
185,0.925,-4,-1,,
186,0.93,-3,-1,,
187,0.935,-3,-1,,
188,0.94,-2,-2,,
189,0.945,-2,-2,,
190,0.95,-2,-2,,
191,0.955,-2,-2,,
192,0.96,-1,-2,,
193,0.965,0,-2,,
194,0.97,0,-3,,
195,0.975,0,-3,,
196,0.98,0,-3,,
197,0.985,1,-3,,
198,0.99,2,-4,,
199,0.995,2,-4,,
200,1,2,-4,,
201,1.005,2,-4,,
202,1.01,3,-4,,
203,1.015,4,-4,,
204,1.02,4,-4,,
205,1.025,4,-4,,
206,1.03,4,-4,,
207,1.035,5,-5,,
208,1.04,6,-5,,
209,1.045,6,-5,,
210,1.05,6,-5,,
211,1.055,6,-5,,
212,1.06,7,-5,,
213,1.065,7,-5,,
214,1.07,8,-5,,
