#,time(s),count A,count B,count C,count D
1,0.005,-7,12,,
2,0.01,-7,11,,
3,0.015,-7,10,,
4,0.02,-7,8,,
5,0.025,-6,7,,
6,0.03,-6,6,,
7,0.035,-6,4,,
8,0.04,-6,3,,
9,0.045,-6,2,,
10,0.05,-5,0,,
11,0.055,-5,-1,,
12,0.06,-5,-2,,
13,0.065,-4,-4,,
14,0.07,-4,-5,,
15,0.075,-4,-6,,
16,0.08,-4,-8,,
17,0.085,-4,-9,,
18,0.09,-3,-10,,
19,0.095,-3,-12,,
20,0.1,-2,-13,,
21,0.105,-2,-15,,
22,0.11,-2,-16,,
23,0.115,-2,-17,,
24,0.12,-1,-18,,
25,0.125,-1,-20,,
26,0.13,-1,-21,,
27,0.135,0,-22,,
28,0.14,0,-23,,
29,0.145,0,-24,,
30,0.15,1,-25,,
31,0.155,1,-26,,
32,0.16,1,-28,,
33,0.165,2,-28,,
34,0.17,2,-29,,
35,0.175,2,-30,,
36,0.18,3,-31,,
37,0.185,3,-32,,
38,0.19,3,-33,,
39,0.195,4,-34,,
40,0.2,4,-34,,
41,0.205,4,-35,,
42,0.21,4,-36,,
43,0.215,5,-36,,
44,0.22,5,-37,,
45,0.225,5,-38,,
46,0.23,6,-38,,
47,0.235,6,-39,,
48,0.24,6,-39,,
49,0.245,6,-40,,
50,0.25,7,-40,,
51,0.255,7,-40,,
52,0.26,8,-40,,
53,0.265,8,-41,,
54,0.27,8,-41,,
55,0.275,8,-41,,
56,0.28,8,-41,,
57,0.285,8,-41,,
58,0.29,9,-41,,
59,0.295,9,-41,,
60,0.3,9,-41,,
61,0.305,9,-41,,
62,0.31,10,-40,,
63,0.315,10,-40,,
64,0.32,10,-40,,
65,0.325,10,-40,,
66,0.33,10,-39,,
67,0.335,10,-39,,
68,0.34,10,-38,,
69,0.345,10,-38,,
70,0.35,10,-38,,
71,0.355,10,-37,,
72,0.36,10,-36,,
73,0.365,11,-36,,
74,0.37,11,-35,,
75,0.375,11,-34,,
76,0.38,11,-33,,
77,0.385,11,-32,,
78,0.39,11,-32,,
79,0.395,11,-31,,
80,0.4,11,-30,,
81,0.405,11,-29,,
82,0.41,11,-28,,
83,0.415,10,-27,,
84,0.42,10,-26,,
85,0.425,10,-25,,
86,0.43,10,-24,,
87,0.435,10,-22,,
88,0.44,10,-22,,
89,0.445,10,-20,,
90,0.45,10,-19,,
91,0.455,10,-18,,
92,0.46,10,-16,,
93,0.465,9,-15,,
94,0.47,9,-14,,
95,0.475,9,-13,,
96,0.48,9,-12,,
97,0.485,8,-10,,
98,0.49,8,-9,,
99,0.495,8,-8,,
100,0.5,8,-6,,
101,0.505,8,-5,,
102,0.51,7,-3,,
103,0.515,7,-2,,
104,0.52,7,-1,,
105,0.525,6,1,,
106,0.53,6,2,,
107,0.535,6,4,,
108,0.54,6,5,,
109,0.545,5,6,,
110,0.55,5,8,,
111,0.555,5,9,,
112,0.56,4,10,,
113,0.565,4,12,,
114,0.57,4,13,,
115,0.575,4,14,,
116,0.58,3,16,,
117,0.585,3,17,,
118,0.59,2,18,,
119,0.595,2,19,,
120,0.6,2,20,,
121,0.605,2,22,,
122,0.61,1,23,,
123,0.615,1,24,,
124,0.62,0,25,,
125,0.625,0,26,,
126,0.63,0,27,,
127,0.635,0,28,,
128,0.64,-1,29,,
129,0.645,-1,30,,
130,0.65,-2,31,,
131,0.655,-2,32,,
132,0.66,-2,33,,
133,0.665,-2,34,,
134,0.67,-3,34,,
135,0.675,-3,35,,
136,0.68,-4,36,,
137,0.685,-4,37,,
138,0.69,-4,37,,
139,0.695,-4,38,,
140,0.7,-5,38,,
141,0.705,-5,39,,
142,0.71,-5,40,,
143,0.715,-5,40,,
144,0.72,-6,40,,
145,0.725,-6,41,,
146,0.73,-6,41,,
147,0.735,-6,41,,
148,0.74,-6,42,,
149,0.745,-7,42,,
150,0.75,-7,42,,
151,0.755,-7,42,,
152,0.76,-7,42,,
153,0.765,-8,42,,
154,0.77,-8,42,,
155,0.775,-8,42,,
156,0.78,-8,42,,
157,0.785,-8,42,,
158,0.79,-8,41,,
159,0.795,-8,41,,
160,0.8,-8,41,,
161,0.805,-9,40,,
162,0.81,-9,40,,
163,0.815,-9,40,,
164,0.82,-9,39,,
165,0.825,-9,38,,
166,0.83,-9,38,,
167,0.835,-9,38,,
168,0.84,-9,37,,
169,0.845,-9,36,,
170,0.85,-9,35,,
171,0.855,-9,34,,
172,0.86,-9,34,,
173,0.865,-9,33,,
174,0.87,-9,32,,
175,0.875,-9,31,,
176,0.88,-9,30,,
177,0.885,-9,29,,
178,0.89,-9,28,,
179,0.895,-9,27,,
180,0.9,-9,26,,
181,0.905,-9,25,,
182,0.91,-8,24,,
183,0.915,-8,23,,
184,0.92,-8,22,,
185,0.925,-8,20,,
186,0.93,-8,20,,
187,0.935,-8,18,,
188,0.94,-8,17,,
189,0.945,-8,16,,
190,0.95,-7,14,,
191,0.955,-7,13,,
192,0.96,-7,12,,
193,0.965,-7,10,,
194,0.97,-6,9,,
195,0.975,-6,8,,
196,0.98,-6,6,,
197,0.985,-6,5,,
198,0.99,-6,4,,
199,0.995,-5,2,,
200,1,-5,1,,
201,1.005,-5,0,,
202,1.01,-4,-2,,
203,1.015,-4,-3,,
204,1.02,-4,-4,,
205,1.025,-4,-6,,
206,1.03,-3,-7,,
207,1.035,-3,-8,,
208,1.04,-3,-10,,
209,1.045,-2,-11,,
210,1.05,-2,-12,,
211,1.055,-2,-13,,
212,1.06,-2,-14,,
213,1.065,-1,-16,,
214,1.07,-1,-17,,
215,1.075,0,-18,,
216,1.08,0,-20,,
217,1.085,0,-20,,
218,1.09,0,-22,,
219,1.095,1,-23,,
220,1.1,1,-24,,
221,1.105,2,-25,,
222,1.11,2,-26,,
223,1.115,2,-27,,
224,1.12,2,-28,,
225,1.125,3,-29,,
226,1.13,3,-30,,
227,1.135,3,-31,,
228,1.14,4,-32,,
229,1.145,4,-32,,
230,1.15,4,-33,,
231,1.155,4,-34,,
232,1.16,5,-34,,
233,1.165,5,-35,,
234,1.17,6,-36,,
235,1.175,6,-36,,
236,1.18,6,-37,,
237,1.185,6,-37,,
238,1.19,6,-38,,
239,1.195,7,-38,,
240,1.2,7,-38,,
241,1.205,8,-39,,
242,1.21,8,-39,,
243,1.215,8,-40,,
244,1.22,8,-40,,
245,1.225,8,-40,,
246,1.23,8,-40,,
247,1.235,9,-40,,
248,1.24,9,-40,,
249,1.245,9,-40,,
250,1.25,9,-40,,
251,1.255,10,-40,,
252,1.26,10,-40,,
253,1.265,10,-39,,
254,1.27,10,-39,,
255,1.275,10,-39,,
256,1.28,10,-38,,
257,1.285,10,-38,,
258,1.29,10,-38,,
259,1.295,10,-37,,
260,1.3,10,-37,,
261,1.305,10,-36,,
262,1.31,11,-36,,
263,1.315,11,-35,,
264,1.32,11,-34,,
265,1.325,11,-34,,
266,1.33,11,-33,,
267,1.335,11,-32,,
268,1.34,11,-31,,
269,1.345,11,-30,,
270,1.35,11,-30,,
271,1.355,10,-28,,
272,1.36,10,-28,,
273,1.365,10,-27,,
274,1.37,10,-26,,
275,1.375,10,-24,,
276,1.38,10,-24,,
277,1.385,10,-22,,
278,1.39,10,-21,,
279,1.395,10,-20,,
280,1.4,10,-19,,
281,1.405,9,-18,,
282,1.41,9,-17,,
283,1.415,9,-16,,
284,1.42,9,-14,,
285,1.425,9,-13,,
286,1.43,8,-12,,
287,1.435,8,-10,,
288,1.44,8,-9,,
289,1.445,8,-8,,
290,1.45,8,-6,,
291,1.455,7,-5,,
292,1.46,7,-4,,
293,1.465,7,-2,,
294,1.47,6,-1,,
295,1.475,6,0,,
296,1.48,6,2,,
297,1.485,6,3,,
298,1.49,5,4,,
299,1.495,5,5,,
300,1.5,5,7,,
301,1.505,4,8,,
302,1.51,4,9,,
303,1.515,4,11,,
304,1.52,3,12,,
305,1.525,3,13,,
306,1.53,3,14,,
307,1.535,2,16,,
308,1.54,2,17,,
309,1.545,2,18,,
310,1.55,1,19,,
311,1.555,1,20,,
312,1.56,1,22,,
313,1.565,0,23,,
314,1.57,0,24,,
315,1.575,0,25,,
316,1.58,-1,26,,
317,1.585,-1,27,,
318,1.59,-1,28,,
319,1.595,-2,29,,
320,1.6,-2,30,,
321,1.605,-2,30,,
322,1.61,-3,32,,
323,1.615,-3,32,,
324,1.62,-3,33,,
325,1.625,-4,34,,
326,1.63,-4,34,,
327,1.635,-4,35,,
328,1.64,-4,36,,
329,1.645,-5,36,,
330,1.65,-5,37,,
331,1.655,-5,38,,
332,1.66,-6,38,,
333,1.665,-6,38,,
334,1.67,-6,39,,
335,1.675,-6,39,,
336,1.68,-6,40,,
337,1.685,-7,40,,
338,1.69,-7,40,,
339,1.695,-7,40,,
340,1.7,-7,40,,
341,1.705,-8,40,,
342,1.71,-8,40,,
343,1.715,-8,40,,
344,1.72,-8,40,,
345,1.725,-8,40,,
346,1.73,-8,40,,
347,1.735,-8,40,,
348,1.74,-8,40,,
349,1.745,-9,40,,
350,1.75,-9,39,,
351,1.755,-9,39,,
352,1.76,-9,39,,
353,1.765,-9,38,,
354,1.77,-9,38,,
355,1.775,-9,37,,
356,1.78,-9,37,,
357,1.785,-9,36,,
358,1.79,-9,36,,
359,1.795,-9,35,,
360,1.8,-9,34,,
361,1.805,-9,34,,
362,1.81,-9,33,,
363,1.815,-9,32,,
364,1.82,-9,31,,
365,1.825,-9,30,,
366,1.83,-9,29,,
367,1.835,-9,28,,
368,1.84,-9,28,,
369,1.845,-9,26,,
370,1.85,-9,26,,
371,1.855,-8,24,,
372,1.86,-8,23,,
373,1.865,-8,22,,
374,1.87,-8,21,,
375,1.875,-8,20,,
376,1.88,-8,19,,
377,1.885,-8,18,,
378,1.89,-8,16,,
379,1.895,-7,16,,
380,1.9,-7,14,,
381,1.905,-7,13,,
382,1.91,-7,12,,
383,1.915,-6,10,,
384,1.92,-6,9,,
385,1.925,-6,8,,
386,1.93,-6,6,,
387,1.935,-6,5,,
388,1.94,-5,4,,
389,1.945,-5,3,,
390,1.95,-5,1,,
391,1.955,-4,0,,
392,1.96,-4,-1,,
393,1.965,-4,-2,,
394,1.97,-4,-4,,
395,1.975,-3,-5,,
396,1.98,-3,-6,,
397,1.985,-3,-8,,
398,1.99,-2,-9,,
399,1.995,-2,-10,,
400,2,-2,-12,,
401,2.005,-1,-13,,
402,2.01,-1,-14,,
403,2.015,-1,-15,,
404,2.02,0,-16,,
405,2.025,0,-18,,
406,2.03,0,-18,,
407,2.035,0,-20,,
408,2.04,1,-21,,
409,2.045,1,-22,,
410,2.05,2,-23,,
411,2.055,2,-24,,
412,2.06,2,-25,,
413,2.065,2,-26,,
414,2.07,3,-27,,
415,2.075,3,-28,,
416,2.08,4,-28,,
417,2.085,4,-29,,
418,2.09,4,-30,,
419,2.095,4,-31,,
420,2.1,5,-32,,
421,2.105,5,-32,,
422,2.11,5,-33,,
423,2.115,6,-34,,
424,2.12,6,-34,,
425,2.125,6,-35,,
426,2.13,6,-35,,
427,2.135,7,-36,,
428,2.14,7,-36,,
429,2.145,7,-36,,
430,2.15,8,-37,,
431,2.155,8,-37,,
432,2.16,8,-38,,
433,2.165,8,-38,,
434,2.17,8,-38,,
435,2.175,9,-38,,
436,2.18,9,-38,,
437,2.185,9,-38,,
438,2.19,9,-38,,
439,2.195,9,-38,,
440,2.2,10,-38,,
441,2.205,10,-38,,
442,2.21,10,-38,,
443,2.215,10,-38,,
444,2.22,10,-37,,
445,2.225,10,-37,,
446,2.23,10,-37,,
447,2.235,10,-36,,
448,2.24,10,-36,,
449,2.245,10,-36,,
450,2.25,11,-35,,
451,2.255,11,-34,,
452,2.26,11,-34,,
453,2.265,11,-33,,
454,2.27,11,-33,,
455,2.275,11,-32,,
456,2.28,11,-31,,
457,2.285,11,-30,,
458,2.29,11,-30,,
459,2.295,11,-29,,
460,2.3,10,-28,,
461,2.305,10,-27,,
462,2.31,10,-26,,
463,2.315,10,-25,,
464,2.32,10,-24,,
465,2.325,10,-23,,
466,2.33,10,-22,,
467,2.335,10,-21,,
468,2.34,10,-20,,
469,2.345,10,-19,,
470,2.35,9,-18,,
471,2.355,9,-17,,
472,2.36,9,-16,,
473,2.365,9,-15,,
474,2.37,9,-14,,
475,2.375,8,-12,,
476,2.38,8,-11,,
477,2.385,8,-10,,
478,2.39,8,-8,,
479,2.395,8,-7,,
480,2.4,7,-6,,
481,2.405,7,-5,,
482,2.41,7,-4,,
483,2.415,6,-2,,
484,2.42,6,-1,,
485,2.425,6,0,,
486,2.43,6,2,,
487,2.435,5,3,,
488,2.44,5,4,,
489,2.445,4,6,,
490,2.45,4,7,,
491,2.455,4,8,,
492,2.46,4,9,,
493,2.465,3,10,,
494,2.47,3,12,,
495,2.475,3,13,,
496,2.48,2,14,,
497,2.485,2,15,,
498,2.49,2,16,,
499,2.495,1,18,,
500,2.5,1,18,,
501,2.505,0,20,,
502,2.51,0,21,,
503,2.515,0,22,,
504,2.52,0,23,,
505,2.525,-1,24,,
506,2.53,-1,25,,
507,2.535,-2,26,,
508,2.54,-2,27,,
509,2.545,-2,28,,
510,2.55,-2,28,,
511,2.555,-3,30,,
512,2.56,-3,30,,
513,2.565,-3,31,,
514,2.57,-4,32,,
515,2.575,-4,32,,
516,2.58,-4,33,,
517,2.585,-4,34,,
518,2.59,-5,34,,
519,2.595,-5,35,,
520,2.6,-5,35,,
521,2.605,-6,36,,
522,2.61,-6,36,,
523,2.615,-6,37,,
524,2.62,-6,37,,
525,2.625,-6,38,,
526,2.63,-7,38,,
527,2.635,-7,38,,
528,2.64,-7,38,,
529,2.645,-7,38,,
530,2.65,-8,38,,
531,2.655,-8,38,,
532,2.66,-8,38,,
533,2.665,-8,38,,
534,2.67,-8,38,,
535,2.675,-8,38,,
536,2.68,-8,38,,
537,2.685,-8,38,,
538,2.69,-9,38,,
539,2.695,-9,38,,
540,2.7,-9,38,,
541,2.705,-9,37,,
542,2.71,-9,37,,
543,2.715,-9,36,,
544,2.72,-9,36,,
545,2.725,-9,35,,
546,2.73,-9,35,,
547,2.735,-9,34,,
548,2.74,-9,34,,
549,2.745,-9,33,,
550,2.75,-9,32,,
551,2.755,-9,32,,
552,2.76,-9,31,,
553,2.765,-9,30,,
554,2.77,-9,30,,
555,2.775,-9,28,,
556,2.78,-9,28,,
557,2.785,-9,27,,
558,2.79,-9,26,,
559,2.795,-9,25,,
560,2.8,-8,24,,
561,2.805,-8,23,,
562,2.81,-8,22,,
563,2.815,-8,21,,
564,2.82,-8,20,,
565,2.825,-8,19,,
566,2.83,-8,18,,
567,2.835,-8,16,,
568,2.84,-7,15,,
569,2.845,-7,14,,
570,2.85,-7,13,,
571,2.855,-6,12,,
572,2.86,-6,11,,
573,2.865,-6,10,,
574,2.87,-6,8,,
575,2.875,-6,7,,
576,2.88,-6,6,,
577,2.885,-5,4,,
578,2.89,-5,3,,
579,2.895,-5,2,,
580,2.9,-4,1,,
581,2.905,-4,0,,
582,2.91,-4,-2,,
583,2.915,-4,-3,,
584,2.92,-3,-4,,
585,2.925,-3,-5,,
586,2.93,-2,-6,,
587,2.935,-2,-8,,
588,2.94,-2,-9,,
589,2.945,-2,-10,,
590,2.95,-1,-11,,
591,2.955,-1,-12,,
592,2.96,-1,-14,,
593,2.965,0,-15,,
594,2.97,0,-16,,
595,2.975,0,-17,,
596,2.98,1,-18,,
597,2.985,1,-19,,
598,2.99,1,-20,,
599,2.995,2,-21,,
600,3,2,-22,,
601,3.005,2,-23,,
602,3.01,3,-24,,
603,3.015,3,-25,,
604,3.02,3,-26,,
605,3.025,4,-26,,
606,3.03,4,-28,,
607,3.035,4,-28,,
608,3.04,4,-29,,
609,3.045,5,-30,,
610,3.05,5,-30,,
611,3.055,5,-31,,
612,3.06,6,-32,,
613,3.065,6,-32,,
614,3.07,6,-33,,
615,3.075,6,-33,,
616,3.08,7,-34,,
617,3.085,7,-34,,
618,3.09,8,-34,,
619,3.095,8,-35,,
620,3.1,8,-35,,
621,3.105,8,-35,,
622,3.11,8,-36,,
623,3.115,8,-36,,
624,3.12,9,-36,,
625,3.125,9,-36,,
626,3.13,9,-36,,
627,3.135,9,-36,,
628,3.14,10,-36,,
629,3.145,10,-36,,
630,3.15,10,-36,,
631,3.155,10,-36,,
632,3.16,10,-36,,
633,3.165,10,-36,,
634,3.17,10,-35,,
635,3.175,10,-35,,
636,3.18,10,-34,,
637,3.185,10,-34,,
638,3.19,10,-34,,
639,3.195,11,-33,,
640,3.2,11,-33,,
641,3.205,11,-32,,
642,3.21,11,-32,,
643,3.215,11,-31,,
644,3.22,11,-30,,
645,3.225,11,-30,,
646,3.23,11,-29,,
647,3.235,11,-28,,
648,3.24,11,-28,,
649,3.245,10,-27,,
650,3.25,10,-26,,
651,3.255,10,-25,,
652,3.26,10,-24,,
653,3.265,10,-23,,
654,3.27,10,-22,,
655,3.275,10,-22,,
656,3.28,10,-20,,
657,3.285,10,-20,,
658,3.29,10,-18,,
659,3.295,9,-17,,
660,3.3,9,-16,,
661,3.305,9,-15,,
662,3.31,9,-14,,
663,3.315,8,-13,,
