#,time(s),count A,count B,count C,count D
1,0.005,38,36,,
2,0.01,38,35,,
3,0.015,38,34,,
4,0.02,37,34,,
5,0.025,37,33,,
6,0.03,36,33,,
7,0.035,36,32,,
8,0.04,36,32,,
9,0.045,35,31,,
10,0.05,34,30,,
11,0.055,34,29,,
12,0.06,34,28,,
13,0.065,33,28,,
14,0.07,32,27,,
15,0.075,32,26,,
16,0.08,31,26,,
17,0.085,31,25,,
18,0.09,30,24,,
19,0.095,30,23,,
20,0.1,29,22,,
21,0.105,28,21,,
22,0.11,28,20,,
23,0.115,27,19,,
24,0.12,26,18,,
25,0.125,26,18,,
26,0.13,25,16,,
27,0.135,24,16,,
28,0.14,24,15,,
29,0.145,23,14,,
30,0.15,22,13,,
31,0.155,22,12,,
32,0.16,21,11,,
33,0.165,20,10,,
34,0.17,20,9,,
35,0.175,19,8,,
36,0.18,18,7,,
37,0.185,17,6,,
38,0.19,16,5,,
39,0.195,16,4,,
40,0.2,15,2,,
41,0.205,14,2,,
42,0.21,14,0,,
43,0.215,13,0,,
44,0.22,12,-2,,
45,0.225,11,-2,,
46,0.23,10,-4,,
47,0.235,10,-4,,
48,0.24,9,-6,,
49,0.245,8,-7,,
50,0.25,7,-8,,
51,0.255,6,-9,,
52,0.26,6,-10,,
53,0.265,5,-10,,
54,0.27,4,-12,,
55,0.275,3,-12,,
56,0.28,2,-14,,
57,0.285,2,-14,,
58,0.29,0,-16,,
59,0.295,0,-16,,
60,0.3,-1,-18,,
61,0.305,-2,-18,,
62,0.31,-3,-19,,
63,0.315,-4,-20,,
64,0.32,-4,-21,,
65,0.325,-5,-22,,
66,0.33,-6,-23,,
67,0.335,-7,-24,,
68,0.34,-8,-24,,
69,0.345,-8,-25,,
70,0.35,-9,-26,,
71,0.355,-10,-27,,
72,0.36,-11,-28,,
73,0.365,-12,-28,,
74,0.37,-12,-29,,
75,0.375,-13,-30,,
76,0.38,-14,-31,,
77,0.385,-14,-32,,
78,0.39,-16,-32,,
79,0.395,-16,-33,,
80,0.4,-17,-34,,
81,0.405,-18,-34,,
82,0.41,-18,-35,,
83,0.415,-19,-35,,
84,0.42,-20,-36,,
85,0.425,-20,-36,,
86,0.43,-21,-37,,
87,0.435,-22,-38,,
88,0.44,-23,-38,,
89,0.445,-24,-38,,
90,0.45,-24,-39,,
91,0.455,-25,-39,,
92,0.46,-25,-40,,
93,0.465,-26,-40,,
94,0.47,-26,-40,,
95,0.475,-27,-41,,
96,0.48,-28,-41,,
97,0.485,-28,-42,,
98,0.49,-29,-42,,
99,0.495,-29,-42,,
100,0.5,-30,-42,,
101,0.505,-30,-42,,
102,0.51,-31,-43,,
103,0.515,-32,-43,,
104,0.52,-32,-43,,
105,0.525,-32,-43,,
106,0.53,-33,-44,,
107,0.535,-33,-44,,
108,0.54,-34,-44,,
109,0.545,-34,-44,,
110,0.55,-34,-44,,
111,0.555,-35,-44,,
112,0.56,-35,-44,,
113,0.565,-35,-44,,
114,0.57,-36,-44,,
115,0.575,-36,-44,,
116,0.58,-36,-44,,
117,0.585,-36,-44,,
118,0.59,-36,-44,,
119,0.595,-37,-43,,
120,0.6,-37,-43,,
121,0.605,-37,-43,,
122,0.61,-37,-43,,
123,0.615,-37,-42,,
124,0.62,-37,-42,,
125,0.625,-38,-42,,
126,0.63,-38,-42,,
127,0.635,-38,-42,,
128,0.64,-38,-41,,
129,0.645,-38,-41,,
130,0.65,-38,-40,,
131,0.655,-37,-40,,
132,0.66,-37,-40,,
133,0.665,-37,-40,,
134,0.67,-37,-39,,
135,0.675,-37,-39,,
136,0.68,-36,-38,,
137,0.685,-36,-38,,
138,0.69,-36,-37,,
139,0.695,-36,-37,,
140,0.7,-36,-36,,
141,0.705,-35,-36,,
142,0.71,-35,-35,,
143,0.715,-35,-35,,
144,0.72,-34,-34,,
145,0.725,-34,-34,,
146,0.73,-34,-33,,
147,0.735,-33,-33,,
148,0.74,-32,-32,,
149,0.745,-32,-32,,
150,0.75,-32,-31,,
151,0.755,-31,-30,,
152,0.76,-30,-30,,
153,0.765,-30,-29,,
154,0.77,-30,-28,,
155,0.775,-29,-28,,
156,0.78,-28,-27,,
157,0.785,-28,-26,,
158,0.79,-27,-26,,
159,0.795,-26,-25,,
160,0.8,-26,-24,,
161,0.805,-25,-24,,
162,0.81,-24,-23,,
163,0.815,-24,-22,,
164,0.82,-23,-22,,
165,0.825,-22,-21,,
166,0.83,-21,-20,,
167,0.835,-20,-19,,
168,0.84,-20,-18,,
169,0.845,-18,-18,,
170,0.85,-18,-17,,
