#,time(s),count A,count B,count C,count D
1,0.005,6,-44,,
2,0.01,6,-44,,
3,0.015,6,-45,,
4,0.02,6,-45,,
5,0.025,7,-46,,
6,0.03,7,-46,,
7,0.035,8,-46,,
8,0.04,8,-46,,
9,0.045,8,-46,,
10,0.05,8,-46,,
11,0.055,9,-46,,
12,0.06,9,-46,,
13,0.065,9,-46,,
14,0.07,10,-46,,
15,0.075,10,-46,,
16,0.08,10,-46,,
17,0.085,10,-45,,
18,0.09,10,-45,,
19,0.095,10,-45,,
20,0.1,10,-44,,
21,0.105,11,-44,,
22,0.11,11,-43,,
23,0.115,11,-42,,
24,0.12,11,-42,,
25,0.125,12,-41,,
26,0.13,12,-40,,
27,0.135,12,-40,,
28,0.14,12,-39,,
29,0.145,12,-38,,
30,0.15,12,-37,,
31,0.155,12,-36,,
32,0.16,12,-36,,
33,0.165,12,-34,,
34,0.17,12,-34,,
35,0.175,12,-32,,
36,0.18,12,-31,,
37,0.185,12,-30,,
38,0.19,12,-29,,
39,0.195,12,-28,,
40,0.2,12,-26,,
41,0.205,12,-25,,
42,0.21,12,-24,,
43,0.215,12,-22,,
44,0.22,12,-21,,
45,0.225,12,-20,,
46,0.23,12,-18,,
47,0.235,12,-17,,
48,0.24,12,-16,,
49,0.245,12,-14,,
50,0.25,12,-13,,
51,0.255,11,-11,,
52,0.26,11,-10,,
53,0.265,11,-8,,
54,0.27,11,-7,,
55,0.275,10,-5,,
56,0.28,10,-4,,
57,0.285,10,-2,,
58,0.29,10,-1,,
59,0.295,10,1,,
60,0.3,10,2,,
61,0.305,9,4,,
62,0.31,9,6,,
63,0.315,9,7,,
64,0.32,8,9,,
65,0.325,8,10,,
66,0.33,8,12,,
67,0.335,8,13,,
68,0.34,8,15,,
69,0.345,7,16,,
70,0.35,7,18,,
71,0.355,6,19,,
72,0.36,6,20,,
73,0.365,6,22,,
74,0.37,6,23,,
75,0.375,6,24,,
76,0.38,5,26,,
77,0.385,5,27,,
78,0.39,4,28,,
79,0.395,4,30,,
80,0.4,4,31,,
81,0.405,4,32,,
82,0.41,3,33,,
83,0.415,3,34,,
84,0.42,2,36,,
85,0.425,2,36,,
86,0.43,2,38,,
