#,time(s),count A,count B,count C,count D
1,0.005,-57,-88,,
2,0.01,-57,-89,,
3,0.015,-56,-90,,
4,0.02,-56,-91,,
5,0.025,-56,-92,,
6,0.03,-56,-92,,
7,0.035,-55,-93,,
8,0.04,-55,-94,,
9,0.045,-54,-94,,
10,0.05,-54,-95,,
11,0.055,-54,-95,,
12,0.06,-53,-96,,
13,0.065,-53,-96,,
14,0.07,-52,-96,,
15,0.075,-52,-96,,
16,0.08,-52,-96,,
17,0.085,-51,-96,,
18,0.09,-51,-96,,
19,0.095,-50,-96,,
20,0.1,-50,-96,,
21,0.105,-50,-96,,
22,0.11,-49,-96,,
23,0.115,-49,-96,,
24,0.12,-48,-95,,
25,0.125,-48,-94,,
26,0.13,-48,-94,,
27,0.135,-47,-94,,
28,0.14,-47,-93,,
29,0.145,-46,-92,,
30,0.15,-46,-91,,
31,0.155,-46,-90,,
32,0.16,-45,-90,,
33,0.165,-44,-88,,
34,0.17,-44,-88,,
35,0.175,-44,-86,,
36,0.18,-43,-85,,
37,0.185,-43,-84,,
38,0.19,-42,-83,,
39,0.195,-42,-81,,
40,0.2,-42,-80,,
41,0.205,-41,-78,,
42,0.21,-40,-77,,
43,0.215,-40,-76,,
44,0.22,-40,-74,,
45,0.225,-40,-72,,
46,0.23,-39,-70,,
47,0.235,-38,-69,,
48,0.24,-38,-67,,
49,0.245,-38,-65,,
50,0.25,-37,-63,,
51,0.255,-37,-62,,
52,0.26,-36,-60,,
53,0.265,-36,-58,,
54,0.27,-36,-56,,
55,0.275,-35,-54,,
56,0.28,-34,-52,,
57,0.285,-34,-49,,
58,0.29,-34,-47,,
59,0.295,-33,-45,,
60,0.3,-33,-43,,
61,0.305,-32,-40,,
62,0.31,-32,-38,,
63,0.315,-31,-36,,
64,0.32,-30,-34,,
65,0.325,-30,-32,,
66,0.33,-30,-29,,
67,0.335,-29,-27,,
68,0.34,-28,-24,,
69,0.345,-28,-22,,
70,0.35,-27,-20,,
71,0.355,-27,-18,,
72,0.36,-26,-15,,
73,0.365,-26,-13,,
74,0.37,-25,-11,,
75,0.375,-24,-8,,
76,0.38,-24,-6,,
77,0.385,-23,-4,,
78,0.39,-22,-2,,
79,0.395,-21,1,,
80,0.4,-20,3,,
81,0.405,-20,6,,
82,0.41,-19,8,,
83,0.415,-18,10,,
84,0.42,-17,12,,
85,0.425,-16,14,,
86,0.43,-16,16,,
87,0.435,-14,18,,
88,0.44,-14,20,,
89,0.445,-12,22,,
90,0.45,-12,24,,
91,0.455,-11,26,,
92,0.46,-10,28,,
93,0.465,-9,30,,
94,0.47,-8,32,,
95,0.475,-6,34,,
96,0.48,-6,36,,
97,0.485,-4,38,,
98,0.49,-3,39,,
99,0.495,-2,41,,
100,0.5,-1,43,,
101,0.505,0,44,,
102,0.51,2,46,,
103,0.515,3,48,,
104,0.52,4,49,,
105,0.525,6,50,,
106,0.53,7,52,,
107,0.535,8,53,,
108,0.54,10,54,,
109,0.545,11,56,,
110,0.55,12,56,,
111,0.555,14,58,,
112,0.56,15,59,,
113,0.565,16,60,,
114,0.57,18,61,,
115,0.575,20,62,,
116,0.58,21,62,,
117,0.585,22,63,,
118,0.59,24,64,,
119,0.595,26,65,,
120,0.6,27,65,,
121,0.605,28,66,,
122,0.61,30,66,,
123,0.615,32,67,,
124,0.62,33,68,,
125,0.625,34,68,,
126,0.63,36,68,,
127,0.635,38,68,,
128,0.64,39,69,,
129,0.645,41,69,,
130,0.65,42,69,,
131,0.655,44,69,,
132,0.66,45,69,,
133,0.665,47,69,,
134,0.67,48,69,,
135,0.675,50,69,,
136,0.68,51,69,,
137,0.685,52,69,,
138,0.69,54,68,,
139,0.695,56,68,,
140,0.7,57,68,,
141,0.705,58,68,,
142,0.71,60,67,,
143,0.715,61,67,,
144,0.72,62,66,,
145,0.725,64,66,,
146,0.73,65,66,,
147,0.735,66,65,,
148,0.74,67,64,,
149,0.745,68,64,,
150,0.75,70,63,,
151,0.755,71,62,,
152,0.76,72,62,,
153,0.765,73,61,,
154,0.77,74,60,,
155,0.775,75,60,,
156,0.78,76,58,,
157,0.785,76,58,,
158,0.79,77,57,,
159,0.795,78,56,,
160,0.8,79,55,,
161,0.805,80,54,,
162,0.81,80,53,,
163,0.815,81,52,,
164,0.82,81,52,,
165,0.825,82,50,,
166,0.83,82,50,,
167,0.835,82,48,,
168,0.84,83,48,,
169,0.845,83,46,,
170,0.85,83,46,,
171,0.855,84,44,,
172,0.86,84,44,,
173,0.865,84,42,,
174,0.87,84,42,,
175,0.875,84,40,,
176,0.88,83,40,,
177,0.885,83,38,,
178,0.89,83,38,,
179,0.895,82,36,,
180,0.9,82,36,,
181,0.905,82,34,,
182,0.91,81,33,,
183,0.915,80,32,,
184,0.92,80,31,,
185,0.925,79,30,,
186,0.93,78,29,,
187,0.935,78,28,,
188,0.94,77,27,,
189,0.945,76,26,,
190,0.95,75,25,,
191,0.955,74,24,,
192,0.96,73,23,,
193,0.965,72,22,,
194,0.97,70,22,,
195,0.975,69,20,,
196,0.98,68,20,,
197,0.985,66,19,,
198,0.99,65,18,,
199,0.995,64,17,,
200,1,62,16,,
201,1.005,60,15,,
202,1.01,58,14,,
203,1.015,57,13,,
204,1.02,55,12,,
205,1.025,53,12,,
206,1.03,52,10,,
207,1.035,50,10,,
208,1.04,48,9,,
209,1.045,46,8,,
210,1.05,44,7,,
211,1.055,42,6,,
212,1.06,40,6,,
213,1.065,38,5,,
214,1.07,36,4,,
215,1.075,33,3,,
216,1.08,31,2,,
217,1.085,29,2,,
218,1.09,27,1,,
219,1.095,24,0,,
220,1.1,22,-1,,
221,1.105,20,-2,,
222,1.11,18,-2,,
223,1.115,15,-3,,
224,1.12,13,-4,,
225,1.125,10,-5,,
226,1.13,8,-6,,
227,1.135,6,-6,,
228,1.14,3,-7,,
229,1.145,1,-8,,
230,1.15,-2,-8,,
231,1.155,-4,-9,,
232,1.16,-6,-10,,
233,1.165,-9,-11,,
234,1.17,-11,-12,,
235,1.175,-14,-12,,
236,1.18,-16,-13,,
237,1.185,-18,-14,,
238,1.19,-20,-15,,
239,1.195,-23,-16,,
240,1.2,-25,-16,,
241,1.205,-28,-17,,
242,1.21,-30,-18,,
243,1.215,-32,-19,,
244,1.22,-34,-20,,
245,1.225,-36,-20,,
246,1.23,-38,-21,,
247,1.235,-40,-22,,
248,1.24,-42,-23,,
249,1.245,-44,-24,,
250,1.25,-46,-24,,
251,1.255,-48,-26,,
252,1.26,-50,-26,,
253,1.265,-52,-27,,
254,1.27,-54,-28,,
255,1.275,-56,-29,,
256,1.28,-58,-30,,
257,1.285,-60,-31,,
258,1.29,-61,-32,,
259,1.295,-63,-33,,
260,1.3,-64,-34,,
261,1.305,-66,-35,,
262,1.31,-67,-36,,
263,1.315,-69,-36,,
264,1.32,-70,-38,,
265,1.325,-71,-38,,
266,1.33,-72,-40,,
267,1.335,-74,-40,,
268,1.34,-75,-42,,
269,1.345,-76,-42,,
270,1.35,-77,-44,,
271,1.355,-78,-44,,
272,1.36,-79,-46,,
273,1.365,-80,-46,,
274,1.37,-80,-47,,
275,1.375,-81,-48,,
276,1.38,-82,-49,,
277,1.385,-82,-50,,
278,1.39,-83,-51,,
279,1.395,-83,-52,,
280,1.4,-84,-53,,
281,1.405,-84,-54,,
282,1.41,-84,-55,,
283,1.415,-84,-56,,
284,1.42,-84,-57,,
285,1.425,-85,-58,,
286,1.43,-85,-59,,
287,1.435,-85,-60,,
288,1.44,-85,-61,,
289,1.445,-84,-62,,
290,1.45,-84,-63,,
291,1.455,-84,-64,,
292,1.46,-84,-64,,
293,1.465,-84,-65,,
294,1.47,-83,-66,,
295,1.475,-82,-67,,
296,1.48,-82,-68,,
297,1.485,-82,-68,,
298,1.49,-81,-69,,
299,1.495,-80,-70,,
300,1.5,-80,-70,,
301,1.505,-78,-71,,
302,1.51,-78,-72,,
303,1.515,-77,-72,,
304,1.52,-76,-73,,
305,1.525,-75,-74,,
306,1.53,-74,-74,,
307,1.535,-73,-74,,
308,1.54,-72,-75,,
309,1.545,-71,-76,,
310,1.55,-70,-76,,
311,1.555,-68,-76,,
312,1.56,-68,-76,,
313,1.565,-66,-77,,
314,1.57,-65,-77,,
315,1.575,-64,-77,,
316,1.58,-62,-77,,
317,1.585,-61,-77,,
318,1.59,-60,-77,,
319,1.595,-58,-77,,
320,1.6,-57,-77,,
321,1.605,-56,-77,,
322,1.61,-54,-77,,
323,1.615,-52,-77,,
324,1.62,-51,-77,,
325,1.625,-50,-76,,
326,1.63,-48,-76,,
327,1.635,-46,-76,,
328,1.64,-45,-75,,
329,1.645,-44,-75,,
330,1.65,-42,-74,,
331,1.655,-40,-74,,
332,1.66,-39,-73,,
333,1.665,-37,-72,,
334,1.67,-36,-72,,
335,1.675,-34,-71,,
336,1.68,-33,-70,,
337,1.685,-31,-69,,
338,1.69,-30,-68,,
339,1.695,-28,-68,,
340,1.7,-26,-66,,
341,1.705,-25,-65,,
342,1.71,-24,-64,,
343,1.715,-22,-63,,
344,1.72,-20,-62,,
