#,time(s),count A,count B,count C,count D
1,0.005,,-47,,
2,0.01,,-49,,
3,0.015,,-51,,
4,0.02,,-53,,
5,0.025,,-54,,
6,0.03,,-56,,
7,0.035,,-58,,
8,0.04,,-60,,
9,0.045,,-61,,
10,0.05,,-63,,
11,0.055,,-64,,
12,0.06,,-66,,
13,0.065,,-67,,
14,0.07,,-68,,
15,0.075,,-69,,
16,0.08,,-70,,
17,0.085,,-72,,
18,0.09,,-72,,
19,0.095,,-74,,
20,0.1,,-74,,
21,0.105,,-75,,
22,0.11,,-76,,
23,0.115,,-76,,
24,0.12,,-77,,
25,0.125,,-77,,
26,0.13,,-78,,
27,0.135,,-78,,
28,0.14,,-78,,
29,0.145,,-78,,
30,0.15,,-78,,
31,0.155,,-78,,
32,0.16,,-78,,
33,0.165,,-78,,
34,0.17,,-78,,
35,0.175,,-78,,
36,0.18,,-78,,
37,0.185,,-77,,
38,0.19,,-76,,
39,0.195,,-76,,
40,0.2,,-76,,
41,0.205,,-75,,
42,0.21,,-74,,
43,0.215,,-73,,
44,0.22,,-72,,
45,0.225,,-71,,
46,0.23,,-70,,
47,0.235,,-69,,
48,0.24,,-68,,
49,0.245,,-66,,
50,0.25,,-65,,
51,0.255,,-64,,
52,0.26,,-62,,
53,0.265,,-61,,
54,0.27,,-59,,
55,0.275,,-58,,
56,0.28,,-56,,
57,0.285,,-54,,
58,0.29,,-52,,
59,0.295,,-50,,
60,0.3,,-49,,
61,0.305,,-46,,
62,0.31,,-45,,
63,0.315,,-43,,
64,0.32,,-41,,
65,0.325,,-38,,
66,0.33,,-36,,
67,0.335,,-34,,
68,0.34,,-32,,
69,0.345,,-30,,
70,0.35,,-28,,
71,0.355,,-26,,
72,0.36,,-23,,
73,0.365,,-21,,
74,0.37,,-19,,
75,0.375,,-16,,
76,0.38,,-14,,
77,0.385,,-12,,
78,0.39,,-9,,
79,0.395,,-7,,
80,0.4,,-4,,
81,0.405,,-2,,
82,0.41,,0,,
83,0.415,,3,,
84,0.42,,5,,
85,0.425,,8,,
86,0.43,,10,,
87,0.435,,12,,
88,0.44,,14,,
