#,time(s),count A,count B,count C,count D
1,0.01,,124,,
2,0.02,,124,,
3,0.03,,124,,
4,0.04,,124,,
5,0.05,,124,,
6,0.06,,124,,
7,0.07,,124,,
8,0.08,,124,,
9,0.09,,124,,
10,0.1,,124,,
11,0.11,,124,,
12,0.12,,124,,
13,0.13,,124,,
14,0.14,,124,,
15,0.15,,124,,
16,0.16,,124,,
17,0.17,,124,,
18,0.18,,124,,
19,0.19,,124,,
20,0.2,,124,,
21,0.21,,124,,
22,0.22,,124,,
23,0.23,,124,,
24,0.24,,124,,
25,0.25,,124,,
26,0.26,,124,,
27,0.27,,124,,
28,0.28,,124,,
29,0.29,,124,,
30,0.3,,123,,
31,0.31,,122,,
32,0.32,,120,,
33,0.33,,118,,
34,0.34,,115,,
35,0.35,,112,,
36,0.36,,108,,
37,0.37,,105,,
38,0.38,,100,,
39,0.39,,96,,
40,0.4,,91,,
41,0.41,,85,,
42,0.42,,80,,
43,0.43,,74,,
44,0.44,,67,,
45,0.45,,61,,
46,0.46,,54,,
47,0.47,,47,,
48,0.48,,40,,
49,0.49,,33,,
50,0.5,,26,,
51,0.51,,18,,
52,0.52,,11,,
53,0.53,,3,,
54,0.54,,-4,,
55,0.55,,-12,,
56,0.56,,-19,,
57,0.57,,-26,,
58,0.58,,-33,,
59,0.59,,-40,,
60,0.6,,-47,,
61,0.61,,-54,,
62,0.62,,-60,,
63,0.63,,-66,,
64,0.64,,-72,,
65,0.65,,-77,,
66,0.66,,-82,,
67,0.67,,-87,,
68,0.68,,-92,,
69,0.69,,-96,,
70,0.7,,-100,,
71,0.71,,-103,,
72,0.72,,-106,,
73,0.73,,-109,,
74,0.74,,-111,,
75,0.75,,-112,,
76,0.76,,-114,,
77,0.77,,-114,,
78,0.78,,-115,,
79,0.79,,-114,,
80,0.8,,-114,,
81,0.81,,-113,,
82,0.82,,-112,,
83,0.83,,-110,,
84,0.84,,-108,,
85,0.85,,-105,,
86,0.86,,-102,,
87,0.87,,-98,,
88,0.88,,-94,,
89,0.89,,-90,,
90,0.9,,-86,,
91,0.91,,-81,,
92,0.92,,-76,,
93,0.93,,-70,,
94,0.94,,-64,,
95,0.95,,-58,,
96,0.96,,-52,,
97,0.97,,-46,,
98,0.98,,-40,,
99,0.99,,-33,,
100,1,,-26,,
101,1.01,,-19,,
102,1.02,,-12,,
103,1.03,,-6,,
104,1.04,,2,,
105,1.05,,8,,
106,1.06,,15,,
107,1.07,,22,,
108,1.08,,28,,
109,1.09,,35,,
110,1.1,,41,,
111,1.11,,48,,
112,1.12,,54,,
113,1.13,,59,,
114,1.14,,65,,
115,1.15,,70,,
116,1.16,,75,,
117,1.17,,80,,
118,1.18,,84,,
119,1.19,,88,,
120,1.2,,92,,
121,1.21,,95,,
122,1.22,,98,,
123,1.23,,100,,
124,1.24,,102,,
125,1.25,,104,,
126,1.26,,106,,
127,1.27,,106,,
128,1.28,,107,,
129,1.29,,107,,
130,1.3,,107,,
131,1.31,,106,,
132,1.32,,105,,
133,1.33,,103,,
134,1.34,,101,,
135,1.35,,99,,
136,1.36,,96,,
137,1.37,,93,,
138,1.38,,90,,
139,1.39,,86,,
140,1.4,,82,,
141,1.41,,78,,
142,1.42,,73,,
143,1.43,,68,,
144,1.44,,63,,
145,1.45,,57,,
146,1.46,,52,,
147,1.47,,46,,
148,1.48,,40,,
149,1.49,,34,,
150,1.5,,28,,
151,1.51,,21,,
152,1.52,,15,,
153,1.53,,8,,
154,1.54,,2,,
155,1.55,,-4,,
156,1.56,,-11,,
157,1.57,,-17,,
158,1.58,,-23,,
159,1.59,,-30,,
160,1.6,,-35,,
161,1.61,,-41,,
162,1.62,,-47,,
163,1.63,,-52,,
164,1.64,,-58,,
165,1.65,,-62,,
166,1.66,,-67,,
167,1.67,,-72,,
168,1.68,,-76,,
169,1.69,,-80,,
170,1.7,,-83,,
171,1.71,,-86,,
172,1.72,,-90,,
173,1.73,,-92,,
174,1.74,,-94,,
175,1.75,,-96,,
176,1.76,,-97,,
177,1.77,,-98,,
178,1.78,,-99,,
179,1.79,,-99,,
180,1.8,,-99,,
181,1.81,,-98,,
182,1.82,,-98,,
183,1.83,,-96,,
184,1.84,,-94,,
185,1.85,,-92,,
186,1.86,,-90,,
187,1.87,,-88,,
188,1.88,,-84,,
189,1.89,,-81,,
190,1.9,,-78,,
191,1.91,,-73,,
192,1.92,,-69,,
193,1.93,,-65,,
194,1.94,,-60,,
195,1.95,,-55,,
196,1.96,,-50,,
197,1.97,,-44,,
198,1.98,,-39,,
199,1.99,,-34,,
200,2,,-28,,
201,2.01,,-22,,
202,2.02,,-16,,
203,2.03,,-10,,
204,2.04,,-4,,
205,2.05,,2,,
206,2.06,,8,,
207,2.07,,14,,
208,2.08,,20,,
209,2.09,,25,,
210,2.1,,31,,
211,2.11,,36,,
212,2.12,,42,,
213,2.13,,47,,
214,2.14,,52,,
215,2.15,,56,,
216,2.16,,61,,
217,2.17,,65,,
218,2.18,,69,,
219,2.19,,73,,
220,2.2,,76,,
221,2.21,,80,,
222,2.22,,82,,
223,2.23,,85,,
224,2.24,,87,,
225,2.25,,89,,
226,2.26,,90,,
227,2.27,,91,,
228,2.28,,92,,
229,2.29,,92,,
230,2.3,,92,,
231,2.31,,92,,
232,2.32,,91,,
233,2.33,,90,,
234,2.34,,89,,
235,2.35,,87,,
236,2.36,,85,,
237,2.37,,83,,
238,2.38,,80,,
239,2.39,,77,,
240,2.4,,74,,
241,2.41,,70,,
242,2.42,,66,,
243,2.43,,62,,
244,2.44,,58,,
245,2.45,,54,,
246,2.46,,49,,
247,2.47,,44,,
248,2.48,,39,,
249,2.49,,34,,
250,2.5,,28,,
251,2.51,,23,,
252,2.52,,18,,
253,2.53,,12,,
254,2.54,,7,,
255,2.55,,1,,
256,2.56,,-4,,
257,2.57,,-10,,
258,2.58,,-15,,
259,2.59,,-21,,
260,2.6,,-26,,
261,2.61,,-31,,
262,2.62,,-36,,
263,2.63,,-41,,
264,2.64,,-46,,
265,2.65,,-50,,
266,2.66,,-54,,
267,2.67,,-58,,
268,2.68,,-62,,
269,2.69,,-66,,
270,2.7,,-69,,
271,2.71,,-72,,
272,2.72,,-75,,
273,2.73,,-78,,
274,2.74,,-80,,
275,2.75,,-81,,
276,2.76,,-83,,
277,2.77,,-84,,
278,2.78,,-85,,
279,2.79,,-85,,
280,2.8,,-86,,
281,2.81,,-85,,
282,2.82,,-85,,
283,2.83,,-84,,
284,2.84,,-83,,
285,2.85,,-82,,
286,2.86,,-80,,
287,2.87,,-78,,
288,2.88,,-75,,
289,2.89,,-72,,
290,2.9,,-70,,
291,2.91,,-66,,
292,2.92,,-63,,
293,2.93,,-59,,
294,2.94,,-56,,
295,2.95,,-52,,
296,2.96,,-47,,
297,2.97,,-43,,
298,2.98,,-38,,
299,2.99,,-33,,
300,3,,-28,,
301,3.01,,-24,,
302,3.02,,-18,,
303,3.03,,-13,,
304,3.04,,-8,,
305,3.05,,-3,,
306,3.06,,2,,
307,3.07,,7,,
308,3.08,,12,,
309,3.09,,17,,
310,3.1,,22,,
311,3.11,,27,,
312,3.12,,32,,
313,3.13,,36,,
314,3.14,,41,,
315,3.15,,45,,
316,3.16,,49,,
317,3.17,,53,,
318,3.18,,56,,
319,3.19,,60,,
320,3.2,,63,,
321,3.21,,66,,
322,3.22,,69,,
323,3.23,,71,,
324,3.24,,73,,
325,3.25,,75,,
326,3.26,,77,,
327,3.27,,78,,
328,3.28,,79,,
329,3.29,,80,,
330,3.3,,80,,
331,3.31,,80,,
332,3.32,,79,,
333,3.33,,79,,
334,3.34,,78,,
335,3.35,,76,,
336,3.36,,75,,
337,3.37,,73,,
338,3.38,,71,,
339,3.39,,69,,
340,3.4,,66,,
341,3.41,,64,,
342,3.42,,60,,
343,3.43,,57,,
344,3.44,,54,,
345,3.45,,50,,
346,3.46,,46,,
347,3.47,,42,,
348,3.48,,38,,
349,3.49,,33,,
350,3.5,,29,,
351,3.51,,24,,
352,3.52,,20,,
353,3.53,,15,,
354,3.54,,10,,
355,3.55,,6,,
356,3.56,,1,,
357,3.57,,-4,,
358,3.58,,-9,,
359,3.59,,-14,,
360,3.6,,-18,,
361,3.61,,-23,,
362,3.62,,-27,,
363,3.63,,-32,,
364,3.64,,-36,,
365,3.65,,-40,,
366,3.66,,-44,,
367,3.67,,-47,,
368,3.68,,-51,,
369,3.69,,-54,,
370,3.7,,-57,,
371,3.71,,-60,,
372,3.72,,-62,,
373,3.73,,-65,,
374,3.74,,-67,,
375,3.75,,-69,,
376,3.76,,-70,,
377,3.77,,-72,,
378,3.78,,-72,,
379,3.79,,-73,,
380,3.8,,-74,,
381,3.81,,-74,,
382,3.82,,-74,,
383,3.83,,-73,,
384,3.84,,-72,,
385,3.85,,-72,,
386,3.86,,-70,,
387,3.87,,-68,,
388,3.88,,-67,,
389,3.89,,-65,,
390,3.9,,-62,,
391,3.91,,-60,,
392,3.92,,-57,,
393,3.93,,-54,,
394,3.94,,-51,,
395,3.95,,-48,,
396,3.96,,-44,,
397,3.97,,-40,,
398,3.98,,-36,,
399,3.99,,-32,,
400,4,,-28,,
401,4.01,,-24,,
402,4.02,,-20,,
403,4.03,,-16,,
404,4.04,,-11,,
405,4.05,,-7,,
406,4.06,,-2,,
407,4.07,,2,,
408,4.08,,6,,
409,4.09,,11,,
410,4.1,,15,,
411,4.11,,20,,
412,4.12,,24,,
413,4.13,,28,,
414,4.14,,32,,
415,4.15,,36,,
416,4.16,,39,,
417,4.17,,42,,
418,4.18,,46,,
419,4.19,,49,,
420,4.2,,52,,
421,4.21,,55,,
422,4.22,,57,,
423,4.23,,60,,
424,4.24,,62,,
425,4.25,,63,,
426,4.26,,65,,
427,4.27,,66,,
428,4.28,,67,,
429,4.29,,68,,
430,4.3,,68,,
431,4.31,,69,,
432,4.32,,69,,
433,4.33,,68,,
434,4.34,,68,,
435,4.35,,67,,
436,4.36,,66,,
437,4.37,,65,,
438,4.38,,63,,
439,4.39,,62,,
440,4.4,,60,,
441,4.41,,57,,
442,4.42,,54,,
443,4.43,,52,,
444,4.44,,49,,
445,4.45,,46,,
446,4.46,,43,,
447,4.47,,39,,
448,4.48,,36,,
449,4.49,,32,,
450,4.5,,28,,
451,4.51,,25,,
452,4.52,,21,,
453,4.53,,17,,
454,4.54,,13,,
455,4.55,,8,,
456,4.56,,4,,
457,4.57,,0,,
458,4.58,,-4,,
459,4.59,,-8,,
460,4.6,,-12,,
461,4.61,,-16,,
462,4.62,,-20,,
463,4.63,,-24,,
464,4.64,,-27,,
465,4.65,,-31,,
466,4.66,,-34,,
467,4.67,,-38,,
468,4.68,,-41,,
469,4.69,,-44,,
470,4.7,,-47,,
471,4.71,,-50,,
472,4.72,,-52,,
473,4.73,,-54,,
474,4.74,,-56,,
475,4.75,,-58,,
476,4.76,,-59,,
477,4.77,,-60,,
478,4.78,,-62,,
479,4.79,,-62,,
480,4.8,,-63,,
481,4.81,,-64,,
482,4.82,,-64,,
483,4.83,,-64,,
484,4.84,,-63,,
485,4.85,,-62,,
486,4.86,,-62,,
487,4.87,,-60,,
488,4.88,,-59,,
489,4.89,,-58,,
490,4.9,,-56,,
491,4.91,,-54,,
492,4.92,,-52,,
493,4.93,,-49,,
494,4.94,,-46,,
495,4.95,,-44,,
496,4.96,,-41,,
497,4.97,,-38,,
498,4.98,,-34,,
499,4.99,,-31,,
500,5,,-28,,
501,5.01,,-24,,
502,5.02,,-20,,
503,5.03,,-17,,
504,5.04,,-13,,
505,5.05,,-9,,
506,5.06,,-6,,
507,5.07,,-2,,
508,5.08,,2,,
509,5.09,,6,,
510,5.1,,10,,
511,5.11,,14,,
512,5.12,,17,,
513,5.13,,21,,
514,5.14,,24,,
515,5.15,,28,,
516,5.16,,31,,
517,5.17,,34,,
518,5.18,,37,,
519,5.19,,40,,
520,5.2,,42,,
521,5.21,,45,,
522,5.22,,47,,
523,5.23,,50,,
524,5.24,,51,,
525,5.25,,53,,
526,5.26,,55,,
527,5.27,,56,,
528,5.28,,57,,
529,5.29,,58,,
530,5.3,,58,,
531,5.31,,59,,
532,5.32,,59,,
533,5.33,,59,,
534,5.34,,59,,
535,5.35,,58,,
536,5.36,,58,,
537,5.37,,57,,
538,5.38,,56,,
539,5.39,,54,,
540,5.4,,53,,
541,5.41,,51,,
542,5.42,,49,,
543,5.43,,47,,
544,5.44,,44,,
545,5.45,,42,,
546,5.46,,39,,
547,5.47,,36,,
548,5.48,,34,,
549,5.49,,30,,
550,5.5,,28,,
551,5.51,,24,,
552,5.52,,21,,
553,5.53,,18,,
554,5.54,,14,,
555,5.55,,11,,
556,5.56,,7,,
557,5.57,,4,,
558,5.58,,0,,
559,5.59,,-4,,
560,5.6,,-7,,
561,5.61,,-10,,
562,5.62,,-14,,
563,5.63,,-17,,
564,5.64,,-20,,
565,5.65,,-24,,
566,5.66,,-27,,
567,5.67,,-30,,
568,5.68,,-33,,
569,5.69,,-36,,
570,5.7,,-38,,
571,5.71,,-40,,
572,5.72,,-43,,
573,5.73,,-45,,
574,5.74,,-47,,
575,5.75,,-48,,
576,5.76,,-50,,
577,5.77,,-51,,
578,5.78,,-52,,
579,5.79,,-53,,
580,5.8,,-54,,
581,5.81,,-54,,
582,5.82,,-55,,
583,5.83,,-55,,
584,5.84,,-55,,
585,5.85,,-54,,
586,5.86,,-54,,
587,5.87,,-53,,
588,5.88,,-52,,
589,5.89,,-51,,
