#,time(s),count A,count B,count C,count D
1,0.005,58,27,,
2,0.01,58,27,,
3,0.015,58,28,,
4,0.02,57,28,,
5,0.025,57,28,,
6,0.03,56,28,,
7,0.035,56,28,,
8,0.04,55,28,,
9,0.045,54,28,,
10,0.05,54,28,,
11,0.055,53,28,,
12,0.06,52,28,,
13,0.065,52,29,,
14,0.07,50,29,,
15,0.075,50,29,,
16,0.08,49,29,,
17,0.085,48,29,,
18,0.09,47,29,,
19,0.095,46,29,,
20,0.1,45,29,,
21,0.105,44,29,,
22,0.11,43,29,,
23,0.115,42,29,,
24,0.12,41,29,,
25,0.125,40,29,,
26,0.13,38,29,,
27,0.135,38,29,,
28,0.14,36,29,,
29,0.145,35,28,,
30,0.15,34,28,,
31,0.155,33,28,,
32,0.16,32,28,,
33,0.165,30,28,,
34,0.17,29,28,,
35,0.175,28,28,,
36,0.18,27,27,,
37,0.185,26,27,,
38,0.19,24,27,,
39,0.195,23,26,,
40,0.2,22,26,,
41,0.205,20,26,,
42,0.21,19,25,,
43,0.215,18,25,,
44,0.22,17,24,,
45,0.225,16,24,,
46,0.23,14,24,,
47,0.235,13,23,,
48,0.24,12,22,,
49,0.245,10,22,,
50,0.25,9,21,,
51,0.255,8,21,,
52,0.26,7,20,,
53,0.265,6,19,,
54,0.27,4,19,,
55,0.275,3,18,,
56,0.28,2,17,,
57,0.285,1,16,,
58,0.29,0,16,,
59,0.295,-1,15,,
60,0.3,-2,14,,
61,0.305,-4,13,,
62,0.31,-4,12,,
63,0.315,-6,12,,
64,0.32,-7,11,,
65,0.325,-8,10,,
66,0.33,-9,9,,
67,0.335,-10,8,,
68,0.34,-10,7,,
69,0.345,-12,6,,
70,0.35,-12,5,,
71,0.355,-13,4,,
72,0.36,-14,3,,
73,0.365,-15,2,,
74,0.37,-16,0,,
75,0.375,-16,0,,
76,0.38,-17,-2,,
77,0.385,-18,-3,,
78,0.39,-18,-4,,
79,0.395,-19,-5,,
80,0.4,-20,-6,,
81,0.405,-20,-8,,
82,0.41,-21,-9,,
83,0.415,-22,-10,,
84,0.42,-22,-11,,
85,0.425,-23,-12,,
86,0.43,-23,-14,,
87,0.435,-24,-15,,
88,0.44,-24,-16,,
89,0.445,-25,-17,,
90,0.45,-25,-18,,
91,0.455,-26,-20,,
92,0.46,-26,-21,,
93,0.465,-26,-22,,
94,0.47,-26,-23,,
95,0.475,-27,-24,,
96,0.48,-27,-26,,
97,0.485,-27,-27,,
98,0.49,-28,-28,,
99,0.495,-28,-29,,
100,0.5,-28,-30,,
101,0.505,-28,-32,,
102,0.51,-28,-33,,
103,0.515,-28,-34,,
104,0.52,-28,-35,,
105,0.525,-28,-36,,
106,0.53,-28,-38,,
107,0.535,-28,-38,,
108,0.54,-28,-40,,
109,0.545,-28,-41,,
110,0.55,-28,-42,,
111,0.555,-28,-43,,
112,0.56,-28,-44,,
