#,time(s),count A,count B,count C,count D
1,0.01,,81,,
2,0.02,,82,,
3,0.03,,82,,
4,0.04,,82,,
5,0.05,,82,,
6,0.06,,82,,
7,0.07,,82,,
8,0.08,,82,,
9,0.09,,82,,
10,0.1,,82,,
11,0.11,,82,,
12,0.12,,82,,
13,0.13,,82,,
14,0.14,,82,,
15,0.15,,82,,
16,0.16,,82,,
17,0.17,,82,,
18,0.18,,82,,
19,0.19,,82,,
20,0.2,,82,,
21,0.21,,82,,
22,0.22,,82,,
23,0.23,,82,,
24,0.24,,82,,
25,0.25,,82,,
26,0.26,,82,,
27,0.27,,82,,
28,0.28,,82,,
29,0.29,,82,,
30,0.3,,82,,
31,0.31,,82,,
32,0.32,,82,,
33,0.33,,82,,
34,0.34,,82,,
35,0.35,,82,,
36,0.36,,82,,
37,0.37,,82,,
38,0.38,,82,,
39,0.39,,82,,
40,0.4,,82,,
41,0.41,,82,,
42,0.42,,82,,
43,0.43,,82,,
44,0.44,,82,,
45,0.45,,82,,
46,0.46,,82,,
47,0.47,,82,,
48,0.48,,82,,
49,0.49,,82,,
50,0.5,,82,,
51,0.51,,82,,
52,0.52,,82,,
53,0.53,,82,,
54,0.54,,82,,
55,0.55,,82,,
56,0.56,,82,,
57,0.57,,82,,
58,0.58,,82,,
59,0.59,,82,,
60,0.6,,82,,
61,0.61,,82,,
62,0.62,,81,,
63,0.63,,81,,
64,0.64,,81,,
65,0.65,,81,,
66,0.66,,81,,
67,0.67,,81,,
68,0.68,,80,,
69,0.69,,80,,
70,0.7,,80,,
71,0.71,,80,,
72,0.72,,80,,
73,0.73,,80,,
74,0.74,,80,,
75,0.75,,80,,
76,0.76,,80,,
77,0.77,,80,,
78,0.78,,80,,
79,0.79,,80,,
80,0.8,,80,,
81,0.81,,80,,
82,0.82,,80,,
83,0.83,,80,,
84,0.84,,80,,
85,0.85,,80,,
86,0.86,,80,,
87,0.87,,80,,
88,0.88,,80,,
89,0.89,,80,,
90,0.9,,80,,
91,0.91,,80,,
92,0.92,,80,,
93,0.93,,80,,
94,0.94,,80,,
95,0.95,,80,,
96,0.96,,80,,
97,0.97,,80,,
98,0.98,,80,,
99,0.99,,80,,
100,1,,80,,
101,1.01,,80,,
102,1.02,,80,,
103,1.03,,80,,
104,1.04,,80,,
105,1.05,,80,,
106,1.06,,80,,
107,1.07,,80,,
108,1.08,,81,,
109,1.09,,81,,
110,1.1,,81,,
111,1.11,,81,,
112,1.12,,81,,
113,1.13,,81,,
