#,time(s),count A,count B,count C,count D
1,0.002,,108,,
2,0.004,,108,,
3,0.006,,108,,
4,0.008,,108,,
5,0.01,,108,,
6,0.012,,108,,
7,0.014,,108,,
8,0.016,,108,,
9,0.018,,108,,
10,0.02,,108,,
11,0.022,,108,,
12,0.024,,108,,
13,0.026,,108,,
14,0.028,,108,,
15,0.03,,108,,
16,0.032,,108,,
17,0.034,,108,,
18,0.036,,108,,
19,0.038,,108,,
20,0.04,,108,,
21,0.042,,108,,
22,0.044,,108,,
23,0.046,,108,,
24,0.048,,108,,
25,0.05,,108,,
26,0.052,,108,,
27,0.054,,108,,
28,0.056,,108,,
29,0.058,,108,,
30,0.06,,108,,
31,0.062,,108,,
32,0.064,,108,,
33,0.066,,108,,
34,0.068,,108,,
35,0.07,,108,,
36,0.072,,108,,
37,0.074,,108,,
38,0.076,,108,,
39,0.078,,108,,
40,0.08,,108,,
41,0.082,,108,,
42,0.084,,108,,
43,0.086,,108,,
44,0.088,,108,,
45,0.09,,108,,
46,0.092,,108,,
47,0.094,,108,,
48,0.096,,108,,
49,0.098,,108,,
50,0.1,,108,,
51,0.102,,108,,
52,0.104,,108,,
53,0.106,,108,,
54,0.108,,108,,
55,0.11,,108,,
56,0.112,,108,,
57,0.114,,108,,
58,0.116,,108,,
59,0.118,,108,,
60,0.12,,108,,
61,0.122,,108,,
62,0.124,,108,,
63,0.126,,108,,
64,0.128,,108,,
65,0.13,,108,,
66,0.132,,108,,
67,0.134,,108,,
68,0.136,,108,,
69,0.138,,108,,
70,0.14,,108,,
71,0.142,,108,,
72,0.144,,108,,
73,0.146,,108,,
74,0.148,,108,,
75,0.15,,108,,
76,0.152,,108,,
77,0.154,,108,,
78,0.156,,108,,
79,0.158,,108,,
80,0.16,,108,,
81,0.162,,108,,
82,0.164,,108,,
83,0.166,,108,,
84,0.168,,108,,
85,0.17,,108,,
86,0.172,,108,,
87,0.174,,108,,
88,0.176,,108,,
89,0.178,,108,,
90,0.18,,108,,
91,0.182,,108,,
92,0.184,,108,,
93,0.186,,108,,
94,0.188,,108,,
95,0.19,,108,,
96,0.192,,108,,
97,0.194,,108,,
98,0.196,,108,,
99,0.198,,108,,
100,0.2,,108,,
101,0.202,,108,,
102,0.204,,108,,
103,0.206,,108,,
104,0.208,,108,,
105,0.21,,108,,
106,0.212,,108,,
107,0.214,,108,,
108,0.216,,108,,
109,0.218,,108,,
110,0.22,,108,,
111,0.222,,108,,
112,0.224,,108,,
113,0.226,,108,,
114,0.228,,108,,
115,0.23,,108,,
116,0.232,,108,,
117,0.234,,108,,
118,0.236,,108,,
119,0.238,,108,,
120,0.24,,108,,
121,0.242,,108,,
122,0.244,,108,,
123,0.246,,108,,
124,0.248,,108,,
125,0.25,,108,,
126,0.252,,108,,
127,0.254,,108,,
128,0.256,,108,,
129,0.258,,108,,
130,0.26,,108,,
131,0.262,,108,,
132,0.264,,108,,
133,0.266,,108,,
134,0.268,,108,,
135,0.27,,108,,
136,0.272,,108,,
137,0.274,,108,,
138,0.276,,108,,
139,0.278,,108,,
140,0.28,,108,,
141,0.282,,108,,
142,0.284,,108,,
143,0.286,,108,,
144,0.288,,108,,
145,0.29,,108,,
146,0.292,,108,,
147,0.294,,108,,
148,0.296,,108,,
149,0.298,,108,,
150,0.3,,108,,
151,0.302,,108,,
152,0.304,,108,,
153,0.306,,108,,
154,0.308,,108,,
155,0.31,,108,,
156,0.312,,108,,
157,0.314,,108,,
158,0.316,,108,,
159,0.318,,108,,
160,0.32,,108,,
161,0.322,,108,,
162,0.324,,108,,
163,0.326,,108,,
164,0.328,,108,,
165,0.33,,108,,
166,0.332,,108,,
167,0.334,,108,,
168,0.336,,108,,
169,0.338,,108,,
170,0.34,,108,,
171,0.342,,108,,
172,0.344,,108,,
173,0.346,,108,,
174,0.348,,108,,
175,0.35,,108,,
176,0.352,,108,,
177,0.354,,108,,
178,0.356,,108,,
179,0.358,,108,,
180,0.36,,108,,
181,0.362,,108,,
182,0.364,,108,,
183,0.366,,108,,
184,0.368,,108,,
185,0.37,,108,,
186,0.372,,108,,
187,0.374,,108,,
188,0.376,,108,,
189,0.378,,108,,
190,0.38,,108,,
191,0.382,,108,,
192,0.384,,108,,
193,0.386,,108,,
194,0.388,,108,,
195,0.39,,107,,
196,0.392,,107,,
197,0.394,,107,,
198,0.396,,107,,
