#,time(s),count A,count B,count C,count D
1,0.005,-8,-6,,
2,0.01,-8,-6,,
3,0.015,-8,-6,,
4,0.02,-8,-7,,
5,0.025,-8,-7,,
6,0.03,-8,-8,,
7,0.035,-7,-8,,
8,0.04,-7,-8,,
9,0.045,-7,-8,,
10,0.05,-7,-8,,
11,0.055,-7,-8,,
12,0.06,-7,-9,,
13,0.065,-6,-9,,
14,0.07,-6,-9,,
15,0.075,-6,-10,,
16,0.08,-6,-10,,
17,0.085,-6,-10,,
18,0.09,-6,-10,,
19,0.095,-6,-10,,
20,0.1,-6,-10,,
21,0.105,-5,-10,,
22,0.11,-5,-11,,
23,0.115,-5,-11,,
24,0.12,-4,-11,,
25,0.125,-4,-11,,
26,0.13,-4,-11,,
27,0.135,-4,-12,,
28,0.14,-4,-12,,
29,0.145,-4,-12,,
30,0.15,-3,-12,,
31,0.155,-3,-12,,
32,0.16,-3,-12,,
33,0.165,-2,-12,,
34,0.17,-2,-12,,
35,0.175,-2,-12,,
36,0.18,-2,-12,,
37,0.185,-1,-12,,
38,0.19,-1,-12,,
39,0.195,-1,-12,,
40,0.2,0,-12,,
41,0.205,0,-12,,
42,0.21,0,-12,,
43,0.215,0,-12,,
44,0.22,1,-12,,
45,0.225,1,-12,,
46,0.23,1,-12,,
47,0.235,2,-11,,
48,0.24,2,-11,,
49,0.245,2,-11,,
50,0.25,2,-11,,
51,0.255,3,-11,,
52,0.26,3,-10,,
53,0.265,4,-10,,
54,0.27,4,-10,,
55,0.275,4,-10,,
56,0.28,4,-10,,
57,0.285,4,-10,,
58,0.29,5,-9,,
59,0.295,5,-9,,
60,0.3,6,-8,,
61,0.305,6,-8,,
62,0.31,6,-8,,
63,0.315,6,-8,,
64,0.32,6,-7,,
65,0.325,7,-7,,
66,0.33,7,-7,,
67,0.335,8,-6,,
68,0.34,8,-6,,
69,0.345,8,-6,,
70,0.35,8,-5,,
71,0.355,8,-5,,
72,0.36,9,-4,,
73,0.365,9,-4,,
74,0.37,9,-4,,
75,0.375,10,-3,,
76,0.38,10,-3,,
77,0.385,10,-2,,
78,0.39,10,-2,,
79,0.395,10,-1,,
80,0.4,10,-1,,
81,0.405,10,0,,
82,0.41,11,0,,
83,0.415,11,0,,
84,0.42,11,1,,
85,0.425,11,2,,
86,0.43,11,2,,
87,0.435,12,2,,
88,0.44,12,3,,
89,0.445,12,4,,
90,0.45,12,4,,
91,0.455,12,4,,
92,0.46,12,5,,
93,0.465,12,6,,
94,0.47,12,6,,
95,0.475,12,6,,
96,0.48,12,7,,
97,0.485,12,8,,
98,0.49,12,8,,
99,0.495,12,8,,
100,0.5,12,9,,
101,0.505,12,10,,
102,0.51,12,10,,
103,0.515,12,10,,
104,0.52,12,11,,
105,0.525,12,11,,
106,0.53,12,12,,
107,0.535,12,12,,
108,0.54,12,13,,
109,0.545,12,13,,
110,0.55,12,14,,
111,0.555,12,14,,
112,0.56,12,14,,
113,0.565,12,15,,
114,0.57,11,15,,
115,0.575,11,16,,
116,0.58,11,16,,
117,0.585,11,16,,
118,0.59,11,16,,
119,0.595,10,17,,
120,0.6,10,17,,
121,0.605,10,18,,
122,0.61,10,18,,
123,0.615,10,18,,
124,0.62,10,18,,
125,0.625,10,19,,
126,0.63,9,19,,
127,0.635,9,19,,
128,0.64,9,19,,
129,0.645,8,20,,
130,0.65,8,20,,
131,0.655,8,20,,
132,0.66,8,20,,
133,0.665,8,20,,
134,0.67,7,20,,
135,0.675,7,20,,
136,0.68,6,20,,
137,0.685,6,20,,
138,0.69,6,20,,
139,0.695,6,20,,
140,0.7,6,20,,
141,0.705,5,20,,
142,0.71,5,20,,
143,0.715,4,20,,
144,0.72,4,20,,
145,0.725,4,20,,
146,0.73,4,20,,
147,0.735,3,20,,
148,0.74,3,20,,
149,0.745,3,20,,
150,0.75,2,19,,
151,0.755,2,19,,
152,0.76,2,19,,
153,0.765,2,18,,
154,0.77,1,18,,
155,0.775,1,18,,
156,0.78,0,18,,
157,0.785,0,18,,
158,0.79,0,17,,
159,0.795,0,17,,
160,0.8,-1,16,,
161,0.805,-1,16,,
162,0.81,-1,16,,
163,0.815,-2,15,,
164,0.82,-2,14,,
165,0.825,-2,14,,
166,0.83,-2,14,,
167,0.835,-3,13,,
168,0.84,-3,12,,
169,0.845,-3,12,,
170,0.85,-4,12,,
171,0.855,-4,11,,
172,0.86,-4,10,,
173,0.865,-4,10,,
174,0.87,-4,9,,
175,0.875,-4,9,,
176,0.88,-5,8,,
177,0.885,-5,8,,
178,0.89,-5,7,,
179,0.895,-6,6,,
180,0.9,-6,6,,
181,0.905,-6,5,,
182,0.91,-6,4,,
183,0.915,-6,4,,
184,0.92,-6,3,,
185,0.925,-6,2,,
186,0.93,-6,2,,
187,0.935,-7,1,,
188,0.94,-7,0,,
189,0.945,-7,0,,
190,0.95,-7,-1,,
191,0.955,-7,-2,,
192,0.96,-7,-3,,
193,0.965,-8,-4,,
194,0.97,-8,-4,,
195,0.975,-8,-5,,
196,0.98,-8,-6,,
197,0.985,-8,-6,,
198,0.99,-8,-7,,
199,0.995,-8,-8,,
200,1,-8,-8,,
201,1.005,-8,-9,,
202,1.01,-8,-10,,
203,1.015,-8,-10,,
204,1.02,-8,-11,,
205,1.025,-8,-12,,
206,1.03,-8,-12,,
207,1.035,-8,-13,,
208,1.04,-8,-14,,
209,1.045,-8,-14,,
210,1.05,-8,-15,,
211,1.055,-8,-16,,
212,1.06,-8,-16,,
213,1.065,-8,-17,,
214,1.07,-7,-17,,
215,1.075,-7,-18,,
216,1.08,-7,-18,,
